date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19750702,1200,,TD,11.1N,102.5W,25,-999
19750702,1800,,TS,11.5N,103.4W,35,-999
19750703,0000,,TS,11.9N,104.3W,40,-999
19750703,0600,,TS,12.3N,105.2W,45,-999
19750703,1200,,TS,12.8N,106.1W,45,-999
19750703,1800,,HU,13.2N,106.8W,65,-999
19750704,0000,,HU,13.6N,107.6W,70,-999
19750704,0600,,HU,14.2N,108.7W,75,-999
19750704,1200,,HU,14.7N,109.8W,85,-999
19750704,1800,,HU,15.3N,110.8W,90,-999
19750705,0000,,HU,15.8N,111.7W,100,-999
19750705,0600,,HU,16.3N,112.6W,105,-999
19750705,1200,,HU,16.7N,113.5W,110,-999
19750705,1800,,HU,17.1N,114.4W,110,-999
19750706,0000,,HU,17.3N,115.3W,110,-999
19750706,0600,,HU,17.4N,116.3W,110,-999
19750706,1200,,HU,17.4N,117.2W,110,-999
19750706,1800,,HU,17.4N,117.9W,100,-999
19750707,0000,,HU,17.4N,118.6W,95,-999
19750707,0600,,HU,17.4N,119.4W,90,-999
19750707,1200,,HU,17.4N,120.2W,75,-999
19750707,1800,,HU,17.4N,120.7W,65,-999
19750708,0000,,TS,17.4N,121.3W,60,-999
19750708,0600,,TS,17.4N,122.0W,50,-999
19750708,1200,,TS,17.5N,122.8W,45,-999
19750708,1800,,TS,17.5N,123.5W,45,-999
19750709,0000,,TS,17.5N,124.2W,40,-999
19750709,0600,,TS,17.6N,125.1W,40,-999
19750709,1200,,TS,17.9N,126.0W,35,-999
19750709,1800,,TS,18.2N,126.6W,35,-999
19750710,0000,,TD,18.4N,127.3W,30,-999
19750710,0600,,TD,18.6N,128.1W,30,-999
19750710,1200,,TD,18.8N,129.0W,25,-999
19750710,1800,,TD,18.9N,129.9W,25,-999
19750711,0000,,TD,19.0N,130.9W,25,-999
