date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19750811,0000,,TD,14.0N,117.5W,25,-999
19750811,0600,,TD,14.0N,118.1W,25,-999
19750811,1200,,TD,14.1N,118.7W,30,-999
19750811,1800,,TS,14.3N,119.3W,35,-999
19750812,0000,,TS,14.6N,120.0W,35,-999
19750812,0600,,TS,15.1N,120.7W,40,-999
19750812,1200,,TS,15.6N,121.6W,40,-999
19750812,1800,,TS,16.1N,122.6W,40,-999
19750813,0000,,TS,16.7N,123.7W,35,-999
19750813,0600,,TD,17.2N,124.8W,30,-999
19750813,1200,,TD,17.5N,126.0W,30,-999
19750813,1800,,TD,17.6N,127.1W,30,-999
19750814,0000,,TD,17.4N,128.2W,30,-999
19750814,0600,,ET,17.2N,128.9W,30,-999
19750814,1200,,ET,16.8N,129.3W,30,-999
