date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19750916,1200,,TD,16.3N,104.2W,30,-999
19750916,1800,,TS,16.4N,105.0W,45,-999
19750917,0000,,TS,16.5N,105.6W,40,-999
19750917,0600,,TS,16.6N,106.0W,40,-999
19750917,1200,,TS,16.6N,106.3W,35,-999
19750917,1800,,TS,16.7N,106.7W,45,-999
19750918,0000,,TS,17.0N,107.2W,45,-999
19750918,0600,,TS,17.4N,108.2W,45,-999
19750918,1200,,TS,17.8N,109.3W,55,-999
19750918,1800,,HU,18.2N,110.4W,65,-999
19750919,0000,,HU,18.6N,111.6W,75,-999
19750919,0600,,HU,18.9N,112.9W,70,-999
19750919,1200,,HU,19.2N,114.2W,75,-999
19750919,1800,,HU,19.6N,115.6W,75,-999
19750920,0000,,HU,20.0N,117.0W,70,-999
19750920,0600,,HU,20.5N,118.4W,75,-999
19750920,1200,,HU,21.0N,119.9W,70,-999
19750920,1800,,TS,21.5N,121.3W,60,-999
19750921,0000,,TS,21.9N,122.6W,55,-999
19750921,0600,,TS,22.4N,123.9W,50,-999
19750921,1200,,TS,23.0N,125.0W,40,-999
19750921,1800,,ET,22.9N,125.9W,25,-999
19750922,0000,,ET,22.1N,126.5W,25,-999
