date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19750928,1200,,TD,11.5N,117.8W,25,-999
19750928,1800,,TD,11.6N,118.9W,30,-999
19750929,0000,,TS,11.7N,120.0W,35,-999
19750929,0600,,TS,11.8N,121.2W,35,-999
19750929,1200,,TS,12.0N,122.3W,35,-999
19750929,1800,,TS,12.1N,123.0W,35,-999
19750930,0000,,TS,12.3N,123.7W,35,-999
19750930,0600,,TS,12.4N,124.2W,35,-999
19750930,1200,,TS,12.6N,124.7W,40,-999
19750930,1800,,TS,12.9N,125.4W,45,-999
19751001,0000,,TS,13.3N,126.0W,35,-999
19751001,0600,,TD,13.6N,126.6W,30,-999
19751001,1200,,TD,14.0N,127.0W,30,-999
19751001,1800,,TD,14.4N,127.3W,30,-999
19751002,0000,,TD,15.0N,127.3W,25,-999
