date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19760714,1200,,TD,11.0N,108.2W,25,-999
19760714,1800,,TD,10.8N,109.5W,25,-999
19760715,0000,,TD,10.6N,110.8W,30,-999
19760715,0600,,TD,10.5N,112.1W,30,-999
19760715,1200,,TD,10.5N,113.5W,30,-999
19760715,1800,,TS,10.5N,114.8W,35,-999
19760716,0000,,TS,10.5N,116.2W,45,-999
19760716,0600,,TS,10.7N,117.9W,45,-999
19760716,1200,,TS,11.0N,119.7W,45,-999
19760716,1800,,TS,11.1N,121.0W,45,-999
19760717,0000,,TS,11.1N,124.5W,45,-999
19760717,0600,,TS,11.0N,126.5W,45,-999
19760717,1200,,TD,11.0N,128.4W,30,-999
19760717,1800,,TD,11.2N,130.2W,30,-999
19760718,0000,,TD,11.2N,130.2W,30,-999
19760718,0600,,TD,11.6N,131.9W,30,-999
19760718,1200,,TD,12.0N,133.5W,25,-999
19760718,1800,,TD,12.5N,135.7W,25,-999
19760719,0000,,TD,13.0N,137.9W,25,-999
19760719,0600,,ET,13.3N,139.1W,25,-999
19760719,1200,,ET,13.5N,139.5W,20,-999
