date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19760805,0000,,TD,9.8N,107.0W,30,-999
19760805,0600,,TD,9.4N,107.6W,30,-999
19760805,1200,,TD,9.4N,108.3W,30,-999
19760805,1800,,TD,9.7N,109.2W,30,-999
19760806,0000,,TS,10.0N,110.0W,35,-999
19760806,0600,,TS,10.3N,111.5W,45,-999
19760806,1200,,TS,10.6N,113.0W,45,-999
19760806,1800,,TS,10.8N,114.1W,45,-999
19760807,0000,,TS,10.7N,115.0W,45,-999
19760807,0600,,TS,10.6N,115.9W,45,-999
19760807,1200,,TS,10.4N,116.7W,45,-999
19760807,1800,,TS,10.2N,117.6W,45,-999
19760808,0000,,TS,10.1N,118.5W,55,-999
19760808,0600,,TS,10.2N,119.3W,55,-999
19760808,1200,,TS,10.3N,120.2W,55,-999
19760808,1800,,TS,10.5N,121.6W,55,-999
19760809,0000,,TS,10.5N,123.0W,50,-999
19760809,0600,,TS,10.2N,123.7W,50,-999
19760809,1200,,TS,9.8N,124.3W,50,-999
19760809,1800,,TS,9.7N,124.5W,45,-999
19760810,0000,,TS,9.7N,124.7W,45,-999
19760810,0600,,TS,10.0N,124.8W,45,-999
19760810,1200,,TS,10.3N,124.7W,40,-999
19760810,1800,,TS,10.4N,124.6W,40,-999
19760811,0000,,TS,10.6N,124.5W,35,-999
19760811,0600,,TS,10.9N,124.3W,35,-999
19760811,1200,,TD,11.2N,124.1W,30,-999
19760811,1800,,TD,11.6N,123.6W,30,-999
19760812,0000,,TD,12.0N,123.6W,30,-999
19760812,0600,,TD,12.3N,123.5W,30,-999
19760812,1200,,TD,13.0N,123.5W,30,-999
19760812,1800,,TS,14.9N,124.0W,45,-999
19760813,0000,,TS,17.3N,124.9W,45,-999
19760813,0600,,TS,19.5N,126.7W,40,-999
19760813,1200,,TS,22.0N,128.5W,40,-999
19760813,1800,,TS,23.0N,131.5W,40,-999
19760814,0000,,TS,23.8N,134.4W,35,-999
19760814,0600,,TD,24.0N,136.0W,30,-999
19760814,1200,,TD,23.5N,139.0W,30,-999
19760814,1800,,TD,22.5N,140.6W,30,-999
19760815,0000,,TD,21.4N,142.5W,25,-999
19760815,0600,,TD,21.4N,144.0W,25,-999
19760815,1200,,TD,21.5N,145.4W,25,-999
19760815,1800,,TD,21.6N,146.8W,25,-999
19760816,0000,,TD,21.8N,148.3W,25,-999
19760816,0600,,TD,21.9N,149.3W,25,-999
19760816,1200,,TD,21.9N,150.2W,25,-999
19760816,1800,,TD,22.0N,151.2W,25,-999
19760817,0000,,TD,22.0N,152.0W,25,-999
19760817,0600,,TD,22.2N,153.7W,25,-999
19760817,1200,,TD,22.6N,155.6W,25,-999
19760817,1800,,TD,23.0N,157.0W,25,-999
19760818,0000,,TD,23.3N,158.5W,25,-999
19760818,0600,,TD,23.5N,159.9W,25,-999
