date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19760806,1800,,TD,11.5N,101.0W,30,-999
19760807,0000,,TD,12.0N,101.5W,30,-999
19760807,0600,,TS,12.0N,102.0W,35,-999
19760807,1200,,TS,12.5N,103.4W,35,-999
19760807,1800,,TS,12.6N,104.8W,45,-999
19760808,0000,,TS,12.6N,106.0W,55,-999
19760808,0600,,TS,12.8N,106.6W,55,-999
19760808,1200,,TS,13.2N,107.2W,55,-999
19760808,1800,,TS,13.7N,108.9W,60,-999
19760809,0000,,TS,14.3N,108.6W,60,-999
19760809,0600,,TS,14.7N,109.4W,60,-999
19760809,1200,,HU,15.0N,110.2W,70,-999
19760809,1800,,HU,14.8N,111.0W,85,-999
19760810,0000,,HU,14.8N,111.4W,95,-999
19760810,0600,,HU,15.1N,112.1W,100,-999
19760810,1200,,HU,15.4N,112.8W,100,-999
19760810,1800,,HU,16.0N,113.8W,100,-999
19760811,0000,,HU,16.4N,114.7W,100,-999
19760811,0600,,HU,16.9N,116.1W,100,-999
19760811,1200,,HU,17.5N,117.5W,85,-999
19760811,1800,,HU,18.4N,119.1W,85,-999
19760812,0000,,HU,19.4N,120.7W,85,-999
19760812,0600,,HU,20.5N,122.5W,75,-999
19760812,1200,,HU,21.5N,124.6W,75,-999
19760812,1800,,HU,22.2N,127.8W,70,-999
19760813,0000,,TS,22.0N,130.5W,55,-999
19760813,0600,,TS,22.1N,132.8W,45,-999
19760813,1200,,TS,22.0N,134.5W,35,-999
19760813,1800,,TS,21.3N,135.8W,35,-999
19760814,0000,,TD,20.5N,137.5W,30,-999
19760814,0600,,TD,20.0N,139.0W,30,-999
