date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19770924,0000,,TS,10.7N,106.5W,35,-999
19770924,0600,,TS,11.8N,107.4W,35,-999
19770924,1200,,TS,13.0N,108.1W,35,-999
19770924,1800,,TS,14.2N,108.7W,35,-999
19770925,0000,,TD,15.5N,109.2W,25,-999
19770925,0600,,TD,17.3N,109.9W,25,-999
19770925,1200,,TD,19.0N,110.9W,25,-999
19770925,1800,,TD,20.0N,112.2W,25,-999
19770926,0000,,TD,21.0N,113.6W,25,-999
19770926,0600,,TD,22.1N,114.9W,25,-999
19770926,1200,,TD,23.2N,115.8W,25,-999
19770926,1800,,TD,24.5N,116.0W,25,-999
19770927,0000,,TD,25.8N,115.8W,25,-999
19770927,0600,,ET,26.9N,115.6W,25,-999
19770927,1200,,ET,27.8N,115.2W,25,-999
