date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19780617,0000,,TD,11.2N,118.0W,25,-999
19780617,0600,,TD,11.8N,119.0W,30,-999
19780617,1200,,TS,12.2N,120.2W,35,-999
19780617,1800,,TS,12.6N,121.3W,40,-999
19780618,0000,,TS,13.2N,122.3W,50,-999
19780618,0600,,TS,13.9N,123.5W,50,-999
19780618,1200,,TS,14.4N,124.8W,50,-999
19780618,1800,,TS,15.0N,126.0W,50,-999
19780619,0000,,TS,15.5N,127.2W,45,-999
19780619,0600,,TS,15.9N,127.9W,40,-999
19780619,1200,,TS,16.0N,128.8W,40,-999
19780619,1800,,TS,15.8N,129.8W,35,-999
19780620,0000,,TD,16.0N,130.6W,30,-999
19780620,0600,,TD,16.2N,131.5W,25,-999
