date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19780713,0000,,TD,11.4N,99.5W,30,-999
19780713,0600,,TS,11.0N,100.3W,35,-999
19780713,1200,,TS,10.8N,101.1W,35,-999
19780713,1800,,TS,10.5N,101.8W,35,-999
19780714,0000,,TS,10.9N,102.8W,35,-999
19780714,0600,,TS,10.9N,104.0W,40,-999
19780714,1200,,TS,10.7N,105.3W,45,-999
19780714,1800,,TS,11.3N,105.8W,50,-999
19780715,0000,,TS,11.8N,106.7W,60,-999
19780715,0600,,TS,12.7N,107.7W,60,-999
19780715,1200,,TS,13.6N,108.7W,60,-999
19780715,1800,,HU,14.8N,109.8W,65,-999
19780716,0000,,HU,14.8N,111.2W,70,-999
19780716,0600,,HU,14.9N,112.2W,100,-999
19780716,1200,,HU,15.0N,113.2W,85,-999
19780716,1800,,HU,15.7N,113.7W,90,-999
19780717,0000,,HU,16.3N,114.5W,90,-999
19780717,0600,,HU,16.2N,115.3W,90,-999
19780717,1200,,HU,16.3N,116.2W,90,-999
19780717,1800,,HU,16.8N,116.8W,90,-999
19780718,0000,,HU,17.7N,117.5W,90,-999
19780718,0600,,HU,18.0N,118.6W,90,-999
19780718,1200,,HU,18.4N,119.8W,75,-999
19780718,1800,,HU,19.0N,121.0W,65,-999
19780719,0000,,TS,19.9N,122.3W,55,-999
19780719,0600,,TS,20.3N,123.8W,60,-999
19780719,1200,,TS,20.7N,125.3W,45,-999
19780719,1800,,TD,21.0N,126.8W,25,-999
19780720,0000,,TD,21.6N,128.2W,25,-999
