date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19780722,0000,,TD,13.4N,100.2W,30,-999
19780722,0600,,TS,13.7N,100.7W,35,-999
19780722,1200,,TS,14.2N,101.2W,40,-999
19780722,1800,,TS,14.6N,101.8W,50,-999
19780723,0000,,TS,14.9N,102.5W,60,-999
19780723,0600,,TS,15.1N,103.3W,60,-999
19780723,1200,,HU,15.3N,104.1W,65,-999
19780723,1800,,HU,15.5N,104.8W,70,-999
19780724,0000,,HU,15.4N,105.6W,70,-999
19780724,0600,,HU,15.5N,106.5W,70,-999
19780724,1200,,HU,15.6N,107.5W,70,-999
19780724,1800,,HU,15.9N,108.7W,80,-999
19780725,0000,,HU,16.0N,109.9W,105,-999
19780725,0600,,HU,16.2N,111.1W,120,-999
19780725,1200,,HU,16.5N,112.2W,120,-999
19780725,1800,,HU,17.2N,113.2W,120,-999
19780726,0000,,HU,18.0N,114.0W,110,-999
19780726,0600,,HU,18.5N,115.1W,100,-999
19780726,1200,,HU,19.0N,116.2W,95,-999
19780726,1800,,HU,19.8N,116.9W,90,-999
19780727,0000,,HU,20.0N,118.0W,75,-999
19780727,0600,,HU,20.2N,118.8W,70,-999
19780727,1200,,HU,20.4N,119.6W,75,-999
19780727,1800,,TS,20.9N,120.3W,60,-999
19780728,0000,,TS,21.5N,121.5W,55,-999
19780728,0600,,TS,21.8N,122.6W,50,-999
19780728,1200,,TS,22.0N,122.8W,50,-999
19780728,1800,,TS,22.1N,124.9W,45,-999
19780729,0000,,TD,22.4N,126.1W,30,-999
19780729,0600,,TD,22.6N,127.4W,30,-999
19780729,1200,,TD,23.0N,128.8W,30,-999
19780729,1800,,TD,23.5N,130.0W,25,-999
