date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19780818,0000,,TD,12.2N,121.0W,30,-999
19780818,0600,,TD,12.3N,121.7W,30,-999
19780818,1200,,TD,12.4N,122.4W,30,-999
19780818,1800,,TD,12.4N,123.3W,30,-999
19780819,0000,,TS,12.3N,123.8W,35,-999
19780819,0600,,TS,12.2N,124.3W,35,-999
19780819,1200,,TS,12.1N,124.6W,35,-999
19780819,1800,,TS,12.0N,125.0W,40,-999
19780820,0000,,TS,12.2N,125.6W,55,-999
19780820,0600,,TS,12.4N,126.1W,60,-999
19780820,1200,,TS,12.8N,126.8W,60,-999
19780820,1800,,TS,13.3N,127.3W,60,-999
19780821,0000,,TS,13.7N,128.2W,60,-999
19780821,0600,,TS,14.1N,129.1W,60,-999
19780821,1200,,TS,14.4N,130.1W,50,-999
19780821,1800,,TS,14.9N,131.1W,50,-999
19780822,0000,,TS,15.4N,132.4W,60,-999
19780822,0600,,TS,15.8N,133.6W,60,-999
19780822,1200,,HU,15.7N,134.8W,70,-999
19780822,1800,,HU,15.6N,135.8W,65,-999
19780823,0000,,HU,15.5N,137.0W,65,-999
19780823,0600,,TS,15.4N,138.2W,60,-999
19780823,1200,,TS,15.4N,139.4W,55,-999
19780823,1800,,TS,15.5N,140.5W,60,-999
19780824,0000,,HU,15.4N,141.7W,65,-999
19780824,0600,,HU,15.5N,143.0W,70,-999
19780824,1200,,HU,15.7N,143.7W,75,-999
19780824,1800,,HU,15.9N,145.2W,80,-999
19780825,0000,,HU,16.3N,145.2W,90,-999
19780825,0600,,HU,16.0N,146.9W,80,-999
19780825,1200,,HU,15.9N,147.8W,70,-999
19780825,1800,,TS,15.8N,148.5W,60,-999
19780826,0000,,TS,15.4N,149.3W,50,-999
19780826,0600,,TS,15.0N,150.0W,50,-999
19780826,1200,,TS,14.8N,150.8W,45,-999
19780826,1800,,TS,14.8N,151.7W,45,-999
19780827,0000,,TS,15.1N,152.5W,40,-999
19780827,0600,,TS,15.0N,153.5W,40,-999
19780827,1200,,TS,14.9N,154.5W,35,-999
19780827,1800,,TS,15.0N,156.5W,35,-999
19780828,0000,,TS,15.3N,156.7W,35,-999
19780828,0600,,TS,15.5N,157.5W,35,-999
19780828,1200,,TS,15.4N,158.3W,35,-999
19780828,1800,,TS,15.0N,159.0W,35,-999
19780829,0000,,TS,14.8N,159.7W,35,-999
19780829,0600,,TS,14.9N,161.5W,35,-999
19780829,1200,,TS,14.8N,163.0W,35,-999
19780829,1800,,TS,14.4N,164.6W,35,-999
19780830,0000,,TD,14.8N,166.2W,30,-999
19780830,0600,,TD,14.7N,167.7W,25,-999
