date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19780923,0000,,TD,14.1N,100.5W,30,-999
19780923,0600,,TD,14.9N,101.0W,30,-999
19780923,1200,,TD,15.3N,102.0W,30,-999
19780923,1800,,TD,16.0N,103.0W,30,-999
19780924,0000,,TD,16.4N,104.1W,30,-999
19780924,0600,,TD,17.0N,105.0W,30,-999
19780924,1200,,TD,17.5N,106.0W,30,-999
19780924,1800,,TD,17.9N,107.1W,30,-999
19780925,0000,,TD,18.5N,108.0W,30,-999
19780925,0600,,TD,19.3N,108.8W,30,-999
19780925,1200,,TS,20.3N,109.5W,35,-999
19780925,1800,,TS,21.6N,109.4W,40,-999
19780926,0000,,TS,22.8N,109.1W,40,-999
19780926,0600,,TS,23.9N,108.8W,35,-999
19780926,1200,,TD,25.0N,108.2W,30,-999
19780926,1800,,ET,25.7N,107.8W,25,-999
19780927,0000,,ET,26.0N,107.3W,20,-999
