date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19790717,0600,,TD,10.5N,103.7W,25,-999
19790717,1200,,TD,10.9N,105.3W,30,-999
19790717,1800,,TS,11.2N,107.0W,35,-999
19790718,0000,,TS,11.0N,108.9W,35,-999
19790718,0600,,TS,11.2N,110.2W,40,-999
19790718,1200,,TS,11.8N,111.4W,50,-999
19790718,1800,,HU,12.4N,112.6W,65,-999
19790719,0000,,HU,12.5N,113.8W,65,-999
19790719,0600,,HU,12.8N,114.8W,65,-999
19790719,1200,,HU,13.2N,115.5W,70,-999
19790719,1800,,HU,13.7N,116.0W,75,-999
19790720,0000,,HU,14.0N,116.5W,80,-999
19790720,0600,,HU,14.6N,117.1W,100,-999
19790720,1200,,HU,15.3N,117.7W,95,-999
19790720,1800,,HU,16.0N,118.2W,95,-999
19790721,0000,,HU,16.9N,118.9W,105,-999
19790721,0600,,HU,17.7N,119.7W,100,-999
19790721,1200,,HU,18.4N,120.4W,90,-999
19790721,1800,,HU,19.2N,121.3W,65,-999
19790722,0000,,TS,20.3N,121.8W,60,-999
19790722,0600,,TS,21.3N,122.6W,60,-999
19790722,1200,,TS,22.2N,123.5W,50,-999
19790722,1800,,TD,23.3N,124.2W,30,-999
19790723,0000,,TD,24.2N,125.1W,30,-999
19790723,0600,,TD,25.2N,125.9W,30,-999
19790723,1200,,TD,26.3N,126.4W,25,-999
19790723,1800,,TD,27.3N,127.0W,20,-999
