date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19791023,1800,,TD,11.7N,95.3W,25,-999
19791024,0000,,TD,11.6N,96.2W,30,-999
19791024,0600,,TD,11.6N,97.1W,30,-999
19791024,1200,,TS,11.5N,97.9W,35,-999
19791024,1800,,TS,11.5N,98.8W,35,-999
19791025,0000,,TS,11.7N,99.7W,35,-999
19791025,0600,,TS,11.9N,100.5W,40,-999
19791025,1200,,TS,12.5N,101.2W,40,-999
19791025,1800,,TS,13.0N,102.0W,40,-999
19791026,0000,,TS,13.5N,102.7W,45,-999
19791026,0600,,TS,14.2N,103.2W,55,-999
19791026,1200,,TS,14.8N,103.7W,60,-999
19791026,1800,,HU,15.3N,104.3W,70,-999
19791027,0000,,HU,15.9N,105.0W,80,-999
19791027,0600,,HU,16.4N,105.7W,90,-999
19791027,1200,,HU,16.8N,106.4W,90,-999
19791027,1800,,HU,17.0N,107.3W,125,938
19791028,0000,,HU,17.1N,107.6W,120,-999
19791028,0600,,HU,17.0N,108.0W,115,-999
19791028,1200,,HU,17.4N,108.0W,100,-999
19791028,1800,,HU,17.7N,108.1W,90,969
19791029,0000,,HU,18.0N,107.9W,80,-999
19791029,0600,,HU,18.0N,107.3W,75,-999
19791029,1200,,HU,18.0N,106.6W,65,-999
19791029,1800,,TS,18.1N,105.8W,55,-999
19791030,0000,,TS,18.1N,105.0W,55,997
19791030,0600,,TS,18.0N,103.8W,55,-999
19791030,1200,,TD,18.0N,102.3W,30,-999
19791030,1800,,ET,18.0N,101.8W,25,-999
