date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19800609,0000,,TD,8.9N,111.0W,30,-999
19800609,0600,,TD,8.7N,111.8W,30,-999
19800609,1200,,TD,8.5N,112.8W,30,-999
19800609,1800,,TS,8.3N,113.7W,45,-999
19800610,0000,,TS,8.4N,114.5W,45,-999
19800610,0600,,TS,8.9N,114.7W,55,-999
19800610,1200,,TS,9.5N,114.8W,60,-999
19800610,1800,,HU,9.9N,114.9W,70,-999
19800611,0000,,HU,10.2N,115.2W,70,-999
19800611,0600,,HU,10.8N,116.0W,70,-999
19800611,1200,,HU,11.4N,116.8W,75,-999
19800611,1800,,HU,12.1N,117.8W,85,-999
19800612,0000,,HU,12.8N,118.7W,100,-999
19800612,0600,,HU,13.4N,119.9W,95,-999
19800612,1200,,HU,14.1N,121.0W,90,-999
19800612,1800,,HU,14.9N,122.1W,85,-999
19800613,0000,,HU,15.5N,123.2W,70,-999
19800613,0600,,HU,16.2N,124.3W,65,-999
19800613,1200,,HU,16.5N,125.6W,65,-999
19800613,1800,,TS,16.9N,126.8W,50,-999
19800614,0000,,TS,16.9N,128.2W,45,-999
19800614,0600,,TS,17.0N,129.4W,35,-999
19800614,1200,,TD,17.2N,130.7W,30,-999
19800614,1800,,TD,17.6N,131.7W,30,-999
19800615,0000,,TD,17.9N,132.8W,30,-999
19800615,0600,,TD,18.1N,133.8W,25,-999
19800615,1200,,TD,18.0N,134.8W,25,-999
19800615,1800,,TD,17.9N,136.0W,25,-999
