date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19800701,0000,,TD,13.2N,110.4W,30,-999
19800701,0600,,TD,13.0N,111.8W,30,-999
19800701,1200,,TD,12.7N,113.4W,30,-999
19800701,1800,,TD,12.6N,114.8W,30,-999
19800702,0000,,TD,12.8N,116.7W,30,-999
19800702,0600,,TS,12.8N,118.4W,35,-999
19800702,1200,,TS,13.3N,120.0W,45,-999
19800702,1800,,TS,14.5N,121.3W,45,-999
19800703,0000,,TD,14.4N,123.1W,30,-999
19800703,0600,,TD,14.4N,125.0W,25,-999
19800703,1200,,TD,14.4N,126.7W,25,-999
19800703,1800,,TD,14.4N,128.4W,25,-999
