date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19800805,1800,,TD,14.9N,102.1W,25,-999
19800806,0000,,TD,14.8N,102.6W,25,-999
19800806,0600,,TS,14.9N,103.2W,35,-999
19800806,1200,,TS,15.1N,103.6W,50,-999
19800806,1800,,TS,15.4N,104.2W,55,-999
19800807,0000,,TS,15.7N,104.6W,60,-999
19800807,0600,,TS,16.2N,105.2W,60,-999
19800807,1200,,HU,16.8N,105.9W,65,-999
19800807,1800,,HU,17.4N,106.7W,70,-999
19800808,0000,,HU,18.3N,107.5W,75,-999
19800808,0600,,HU,18.8N,108.5W,75,-999
19800808,1200,,HU,19.3N,109.4W,80,-999
19800808,1800,,HU,19.6N,110.3W,85,-999
19800809,0000,,HU,19.9N,110.9W,80,-999
19800809,0600,,HU,20.3N,111.8W,75,-999
19800809,1200,,HU,20.6N,112.4W,75,-999
19800809,1800,,HU,21.0N,113.2W,65,-999
19800810,0000,,TS,21.3N,113.8W,60,-999
19800810,0600,,TS,21.6N,114.5W,60,-999
19800810,1200,,TS,21.8N,115.0W,55,-999
19800810,1800,,TS,21.8N,115.9W,45,-999
19800811,0000,,TS,21.8N,116.6W,40,-999
19800811,0600,,TD,21.8N,116.9W,30,-999
19800811,1200,,TD,21.8N,117.2W,30,-999
