date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19800822,1800,,TD,13.3N,104.7W,25,-999
19800823,0000,,TD,13.8N,105.5W,30,-999
19800823,0600,,TD,14.2N,106.5W,30,-999
19800823,1200,,TS,14.6N,107.5W,45,-999
19800823,1800,,TS,15.0N,108.5W,50,-999
19800824,0000,,HU,15.5N,109.4W,65,-999
19800824,0600,,HU,15.9N,110.6W,70,-999
19800824,1200,,HU,16.1N,111.8W,70,-999
19800824,1800,,HU,16.4N,112.9W,95,-999
19800825,0000,,HU,16.7N,114.1W,100,-999
19800825,0600,,HU,17.2N,115.0W,100,-999
19800825,1200,,HU,17.6N,116.1W,100,-999
19800825,1800,,HU,18.0N,117.0W,90,-999
19800826,0000,,HU,18.4N,118.0W,75,-999
19800826,0600,,HU,18.7N,119.1W,70,-999
19800826,1200,,HU,19.1N,120.1W,70,-999
19800826,1800,,HU,19.4N,121.1W,65,-999
19800827,0000,,HU,19.7N,122.1W,65,-999
19800827,0600,,TS,20.1N,123.1W,55,-999
19800827,1200,,TS,20.4N,124.0W,45,-999
19800827,1800,,TS,20.7N,125.0W,35,-999
19800828,0000,,TD,21.4N,125.7W,30,-999
19800828,0600,,TD,22.1N,126.2W,30,-999
19800828,1200,,TD,22.8N,126.8W,25,-999
19800828,1800,,TD,23.5N,127.3W,25,-999
19800829,0000,,TD,24.3N,127.8W,20,-999
