date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19800916,0600,,TD,12.7N,103.8W,30,-999
19800916,1200,,TS,12.8N,104.6W,35,-999
19800916,1800,,TS,13.1N,105.3W,50,-999
19800917,0000,,TS,13.5N,105.8W,60,-999
19800917,0600,,HU,13.9N,106.4W,65,-999
19800917,1200,,HU,14.3N,107.0W,90,-999
19800917,1800,,HU,15.1N,108.0W,90,-999
19800918,0000,,HU,15.6N,109.1W,100,-999
19800918,0600,,HU,16.1N,110.4W,105,-999
19800918,1200,,HU,16.6N,112.0W,115,-999
19800918,1800,,HU,17.0N,113.9W,120,-999
19800919,0000,,HU,17.2N,115.7W,115,-999
19800919,0600,,HU,17.3N,117.4W,100,-999
19800919,1200,,HU,17.5N,118.9W,100,-999
19800919,1800,,HU,17.7N,120.0W,95,-999
19800920,0000,,HU,17.9N,120.9W,80,-999
19800920,0600,,HU,18.0N,122.0W,65,-999
19800920,1200,,TS,18.1N,123.0W,55,-999
19800920,1800,,TS,18.1N,124.1W,45,-999
19800921,0000,,TS,18.1N,125.2W,45,-999
19800921,0600,,TS,18.0N,126.3W,45,-999
19800921,1200,,TS,17.8N,127.4W,45,-999
19800921,1800,,TS,17.5N,128.5W,55,-999
19800922,0000,,TS,17.3N,129.7W,60,-999
19800922,0600,,TS,17.3N,130.5W,55,-999
19800922,1200,,TS,17.6N,131.4W,50,-999
19800922,1800,,TS,18.0N,132.4W,60,-999
19800923,0000,,HU,18.5N,133.5W,70,-999
19800923,0600,,HU,18.8N,134.6W,70,-999
19800923,1200,,HU,19.2N,135.7W,70,-999
19800923,1800,,HU,19.5N,136.8W,70,-999
19800924,0000,,HU,19.8N,137.9W,75,-999
19800924,0600,,HU,20.0N,138.8W,80,-999
19800924,1200,,HU,20.3N,139.8W,80,-999
19800924,1800,,HU,20.5N,140.2W,75,-999
19800925,0000,,HU,21.2N,141.2W,75,-999
19800925,0600,,HU,21.7N,141.8W,75,-999
19800925,1200,,HU,22.1N,142.2W,70,-999
19800925,1800,,HU,22.5N,142.5W,70,-999
19800926,0000,,HU,22.9N,142.8W,70,-999
19800926,0600,,HU,23.1N,143.2W,65,-999
19800926,1200,,HU,23.3N,143.3W,80,-999
19800926,1800,,HU,23.3N,143.3W,65,-999
19800927,0000,,HU,23.3N,143.3W,65,-999
19800927,0600,,HU,23.3N,143.3W,65,-999
19800927,1200,,TS,23.4N,144.0W,55,-999
19800927,1800,,TS,23.1N,144.7W,50,-999
19800928,0000,,TS,22.7N,145.9W,45,-999
19800928,0600,,TS,22.5N,146.9W,40,-999
19800928,1200,,TS,22.5N,148.0W,40,-999
19800928,1800,,TS,23.1N,149.3W,35,-999
19800929,0000,,TS,23.5N,150.5W,35,-999
19800929,0600,,TD,23.5N,151.5W,30,-999
19800929,1200,,TD,23.5N,152.6W,30,-999
19800929,1800,,TD,23.8N,154.4W,30,-999
19800930,0000,,TD,24.1N,155.5W,30,-999
19800930,0600,,TD,24.8N,156.9W,30,-999
19800930,1200,,TD,26.3N,157.8W,25,-999
