date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19810914,1200,,TD,14.5N,123.4W,30,-999
19810914,1800,,TS,14.6N,124.6W,35,-999
19810915,0000,,TS,14.7N,125.8W,35,-999
19810915,0600,,TS,14.7N,127.0W,40,-999
19810915,1200,,TS,14.8N,128.2W,55,-999
19810915,1800,,HU,14.9N,129.3W,65,-999
19810916,0000,,HU,15.2N,130.2W,70,-999
19810916,0600,,HU,15.5N,130.9W,70,-999
19810916,1200,,HU,15.9N,131.7W,70,-999
19810916,1800,,HU,16.3N,132.5W,70,-999
19810917,0000,,HU,16.7N,133.3W,75,-999
19810917,0600,,HU,17.4N,134.0W,75,-999
19810917,1200,,HU,18.0N,135.0W,70,-999
19810917,1800,,HU,18.8N,136.0W,65,-999
19810918,0000,,HU,19.4N,137.3W,65,-999
19810918,0600,,HU,20.1N,138.6W,65,-999
19810918,1200,,TS,19.7N,140.0W,60,-999
19810918,1800,,TS,19.3N,141.7W,50,-999
19810919,0000,,TS,19.3N,143.7W,40,-999
19810919,0600,,TS,19.4N,145.7W,40,-999
19810919,1200,,TS,19.6N,147.7W,40,-999
19810919,1800,,TS,20.0N,149.7W,35,-999
19810920,0000,,TS,20.3N,151.2W,35,-999
19810920,0600,,TS,20.8N,152.9W,35,-999
19810920,1200,,TS,21.4N,154.5W,35,-999
19810920,1800,,TD,22.5N,157.0W,30,-999
19810921,0000,,TD,23.3N,158.5W,25,-999
