date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19810919,0000,,TD,15.5N,104.5W,30,-999
19810919,0600,,TS,15.8N,106.0W,35,-999
19810919,1200,,TS,16.1N,107.4W,45,-999
19810919,1800,,TS,16.7N,108.8W,50,-999
19810920,0000,,TS,17.6N,109.5W,50,-999
19810920,0600,,TS,18.6N,109.9W,55,-999
19810920,1200,,TS,19.7N,110.2W,55,-999
19810920,1800,,TS,20.8N,110.6W,55,-999
19810921,0000,,TS,21.6N,109.4W,50,-999
19810921,0600,,TS,22.5N,108.1W,45,-999
19810921,1200,,TS,23.3N,107.0W,40,-999
19810921,1800,,ET,24.1N,105.9W,30,-999
