date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19820830,0600,,TD,11.0N,169.0W,30,-999
19820830,1200,,TD,11.4N,170.0W,30,-999
19820830,1800,,TS,11.8N,170.7W,35,-999
19820831,0000,,TS,12.4N,171.5W,35,-999
19820831,0600,,TS,13.0N,172.5W,35,-999
19820831,1200,,TS,13.4N,173.2W,35,-999
19820831,1800,,TS,13.8N,174.0W,45,-999
19820901,0000,,TS,13.8N,174.0W,45,-999
19820901,0600,,TS,13.8N,174.0W,45,-999
19820901,1200,,TS,13.8N,174.0W,45,-999
19820901,1800,,TS,14.0N,175.5W,35,-999
19820902,0000,,TD,13.9N,177.2W,30,-999
19820902,0600,,TD,13.7N,178.7W,30,-999
19820902,1200,,TD,13.5N,179.8W,25,-999
