date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19820915,1800,,TD,14.7N,158.0W,30,-999
19820916,0000,,TS,15.1N,158.3W,35,-999
19820916,0600,,TS,15.4N,158.4W,35,-999
19820916,1200,,TS,15.7N,158.7W,40,-999
19820916,1800,,TS,16.1N,159.0W,35,-999
19820917,0000,,TS,15.8N,159.4W,35,-999
19820917,0600,,TS,15.5N,159.6W,35,-999
19820917,1200,,TS,15.3N,159.8W,35,-999
19820917,1800,,TS,14.9N,160.0W,35,-999
19820918,0000,,TS,14.9N,160.0W,35,-999
19820918,0600,,TD,14.9N,160.0W,30,-999
19820918,1200,,TD,14.9N,160.0W,30,-999
19820918,1800,,TD,14.0N,160.7W,30,-999
19820919,0000,,TD,13.4N,161.5W,30,-999
