date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19821119,1200,,TS,9.7N,166.6W,40,-999
19821119,1800,,TS,9.7N,166.6W,40,-999
19821120,0000,,TS,10.9N,166.8W,40,-999
19821120,0600,,TS,10.8N,166.6W,40,-999
19821120,1200,,TS,11.4N,166.5W,40,-999
19821120,1800,,TS,12.1N,165.6W,40,-999
19821121,0000,,TS,12.7N,164.5W,50,-999
19821121,0600,,TS,12.9N,164.0W,50,-999
19821121,1200,,TS,13.3N,163.8W,50,-999
19821121,1800,,TS,13.6N,163.6W,50,-999
19821122,0000,,TS,14.0N,163.6W,55,-999
19821122,0600,,TS,14.4N,163.5W,55,-999
19821122,1200,,TS,14.5N,163.6W,55,-999
19821122,1800,,TS,15.0N,163.7W,60,-999
19821123,0000,,HU,16.2N,164.0W,70,-999
19821123,0600,,HU,17.6N,164.2W,75,-999
19821123,1200,,HU,18.7N,163.8W,75,-999
19821123,1800,,HU,20.1N,162.9W,80,-999
19821124,0000,,HU,21.5N,161.4W,80,-999
19821124,0600,,HU,23.3N,158.4W,80,-999
19821124,1200,,HU,24.5N,156.0W,70,-999
19821124,1800,,TS,25.5N,153.9W,55,-999
19821125,0000,,TS,26.7N,151.7W,45,-999
