date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19820830,0000,,TD,12.5N,107.5W,25,-999
19820830,0600,,TD,12.8N,108.9W,30,-999
19820830,1200,,TD,13.1N,110.2W,30,-999
19820830,1800,,TS,13.6N,111.5W,35,-999
19820831,0000,,TS,14.4N,112.7W,45,-999
19820831,0600,,TS,14.6N,114.2W,50,-999
19820831,1200,,TS,14.8N,115.9W,60,-999
19820831,1800,,HU,14.8N,117.4W,65,-999
19820901,0000,,HU,14.8N,118.7W,65,-999
19820901,0600,,HU,14.9N,120.0W,65,-999
19820901,1200,,HU,15.0N,121.5W,65,-999
19820901,1800,,HU,15.1N,122.8W,65,-999
19820902,0000,,HU,15.2N,124.2W,70,-999
19820902,0600,,HU,15.4N,125.6W,70,-999
19820902,1200,,HU,15.6N,127.0W,75,-999
19820902,1800,,HU,15.7N,128.6W,75,-999
19820903,0000,,HU,15.8N,130.0W,75,-999
19820903,0600,,HU,15.9N,131.5W,75,-999
19820903,1200,,HU,16.1N,133.0W,75,-999
19820903,1800,,HU,16.1N,134.6W,75,-999
19820904,0000,,HU,16.3N,136.7W,75,-999
19820904,0600,,HU,17.0N,138.7W,70,-999
19820904,1200,,HU,17.8N,140.7W,65,-999
19820904,1800,,TS,18.5N,142.5W,45,-999
19820905,0000,,TS,19.1N,144.2W,55,-999
19820905,0600,,TS,20.0N,146.0W,35,-999
19820905,1200,,TD,21.2N,147.1W,30,-999
19820905,1800,,TD,23.0N,147.0W,30,-999
19820906,0000,,TD,24.1N,146.3W,30,-999
19820906,0600,,TD,25.5N,145.5W,25,-999
19820906,1200,,TD,27.0N,145.4W,25,-999
19820906,1800,,TD,29.5N,148.5W,25,-999
