date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19830702,0600,,TD,10.5N,109.5W,25,-999
19830702,1200,,TD,10.8N,109.8W,25,-999
19830702,1800,,TD,11.3N,109.9W,25,-999
19830703,0000,,TD,11.7N,110.0W,25,-999
19830703,0600,,TD,12.0N,110.1W,25,-999
19830703,1200,,TD,12.3N,110.3W,25,-999
19830703,1800,,TD,12.7N,110.4W,30,-999
19830704,0000,,TD,13.0N,110.7W,30,-999
19830704,0600,,TD,14.0N,111.4W,30,-999
19830704,1200,,TS,14.8N,112.8W,35,-999
19830704,1800,,TS,15.5N,114.3W,35,-999
19830705,0000,,TS,16.4N,115.7W,35,-999
19830705,0600,,TS,16.7N,117.0W,35,-999
19830705,1200,,TD,17.0N,118.2W,30,-999
19830705,1800,,TD,17.6N,119.4W,25,-999
