date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19830831,0600,,TD,11.9N,101.3W,25,-999
19830831,1200,,TD,12.2N,101.7W,30,-999
19830831,1800,,TS,12.5N,102.0W,35,-999
19830901,0000,,TS,12.9N,102.3W,40,-999
19830901,0600,,TS,13.4N,102.7W,45,-999
19830901,1200,,TS,13.9N,103.1W,55,-999
19830901,1800,,HU,14.5N,103.6W,100,-999
19830902,0000,,HU,15.0N,104.2W,115,-999
19830902,0600,,HU,15.4N,104.8W,115,-999
19830902,1200,,HU,16.0N,105.4W,115,-999
19830902,1800,,HU,16.6N,106.0W,115,-999
19830903,0000,,HU,17.1N,106.6W,115,-999
19830903,0600,,HU,17.7N,107.0W,115,-999
19830903,1200,,HU,18.2N,107.6W,120,-999
19830903,1800,,HU,18.9N,108.4W,125,-999
19830904,0000,,HU,19.4N,109.1W,125,-999
19830904,0600,,HU,20.0N,110.0W,115,-999
19830904,1200,,HU,20.2N,110.8W,110,-999
19830904,1800,,HU,20.5N,111.5W,115,-999
19830905,0000,,HU,20.7N,112.1W,100,-999
19830905,0600,,HU,20.9N,112.9W,95,-999
19830905,1200,,HU,21.0N,113.3W,90,-999
19830905,1800,,HU,21.2N,113.8W,90,-999
19830906,0000,,HU,21.5N,114.4W,90,-999
19830906,0600,,HU,21.7N,114.9W,80,-999
19830906,1200,,HU,22.0N,115.4W,70,-999
19830906,1800,,HU,22.2N,116.0W,65,-999
19830907,0000,,HU,22.3N,116.5W,65,-999
19830907,0600,,TS,22.4N,117.1W,60,-999
19830907,1200,,TS,22.5N,117.7W,55,-999
19830907,1800,,TS,22.7N,118.1W,50,-999
19830908,0000,,TS,22.9N,118.4W,45,-999
19830908,0600,,TS,23.3N,119.0W,40,-999
19830908,1200,,TS,23.7N,119.3W,35,-999
19830908,1800,,TD,24.3N,119.7W,30,-999
19830909,0000,,TD,25.0N,119.9W,25,-999
