date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19830906,0600,,TD,15.4N,100.0W,30,-999
19830906,1200,,TD,15.3N,100.3W,30,-999
19830906,1800,,TS,15.3N,100.5W,35,-999
19830907,0000,,TS,15.2N,100.8W,35,-999
19830907,0600,,TS,15.2N,101.0W,45,-999
19830907,1200,,TS,15.3N,101.3W,55,-999
19830907,1800,,HU,15.4N,101.5W,65,-999
19830908,0000,,HU,15.5N,102.0W,65,-999
19830908,0600,,HU,15.9N,102.9W,90,-999
19830908,1200,,HU,16.5N,103.8W,100,-999
19830908,1800,,HU,17.1N,104.7W,100,-999
19830909,0000,,HU,17.6N,105.5W,85,-999
19830909,0600,,HU,18.1N,106.3W,80,-999
19830909,1200,,HU,18.6N,107.2W,80,-999
19830909,1800,,HU,19.0N,108.2W,85,-999
19830910,0000,,HU,19.6N,109.3W,85,-999
19830910,0600,,HU,20.0N,110.0W,80,-999
19830910,1200,,HU,20.3N,110.6W,85,-999
19830910,1800,,HU,20.7N,111.5W,90,-999
19830911,0000,,HU,20.9N,112.2W,90,-999
19830911,0600,,HU,21.1N,113.0W,90,-999
19830911,1200,,HU,21.4N,113.8W,90,-999
19830911,1800,,HU,21.7N,114.7W,85,-999
19830912,0000,,HU,22.1N,115.7W,75,-999
19830912,0600,,HU,22.5N,116.8W,65,-999
19830912,1200,,HU,22.6N,117.9W,65,-999
19830912,1800,,TS,22.9N,118.9W,55,-999
19830913,0000,,TS,23.1N,120.0W,50,-999
19830913,0600,,TS,23.5N,121.1W,40,-999
19830913,1200,,TS,24.0N,122.1W,35,-999
19830913,1800,,TD,24.5N,123.1W,30,-999
19830914,0000,,TD,24.9N,124.0W,30,-999
19830914,0600,,TD,25.1N,124.9W,25,-999
19830914,1200,,TD,25.3N,125.8W,25,-999
