date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19830921,0000,,TD,15.1N,112.0W,25,-999
19830921,0600,,TS,15.2N,112.9W,35,-999
19830921,1200,,TS,15.4N,113.8W,35,-999
19830921,1800,,TS,15.5N,114.7W,35,-999
19830922,0000,,TS,15.5N,115.7W,35,-999
19830922,0600,,TS,15.5N,116.7W,35,-999
19830922,1200,,TS,15.6N,117.7W,35,-999
19830922,1800,,TS,15.7N,118.6W,35,-999
19830923,0000,,TS,15.8N,119.6W,35,-999
19830923,0600,,TS,15.8N,120.6W,40,-999
19830923,1200,,TS,15.9N,121.5W,50,-999
19830923,1800,,TS,16.0N,122.5W,45,-999
19830924,0000,,TS,15.9N,123.5W,45,-999
19830924,0600,,TS,15.9N,124.3W,45,-999
19830924,1200,,TS,15.9N,125.0W,45,-999
19830924,1800,,TS,15.9N,125.8W,45,-999
19830925,0000,,TS,16.0N,126.6W,45,-999
19830925,0600,,TS,16.0N,127.5W,45,-999
19830925,1200,,TS,16.1N,128.5W,40,-999
19830925,1800,,TS,16.4N,129.6W,40,-999
19830926,0000,,TS,16.4N,130.7W,40,-999
19830926,0600,,TD,16.5N,131.9W,30,-999
19830926,1200,,TD,16.6N,133.2W,30,-999
19830926,1800,,TD,16.8N,134.6W,30,-999
19830927,0000,,TD,16.9N,136.0W,30,-999
19830927,0600,,TD,17.1N,137.5W,30,-999
19830927,1200,,TD,17.3N,139.0W,30,-999
19830927,1800,,TD,17.1N,140.8W,25,-999
19830928,0000,,TS,17.3N,142.4W,35,-999
19830928,0600,,TS,17.4N,144.0W,35,-999
19830928,1200,,TS,17.6N,146.0W,40,-999
19830928,1800,,TS,17.8N,148.0W,45,-999
19830929,0000,,TS,17.7N,150.0W,55,-999
19830929,0600,,TS,17.5N,151.4W,60,-999
19830929,1200,,TS,17.2N,153.0W,60,-999
19830929,1800,,TD,16.8N,154.3W,30,-999
19830930,0000,,TS,16.4N,155.5W,45,-999
19830930,0600,,TS,15.8N,156.9W,45,-999
19830930,1200,,TS,15.2N,158.3W,45,-999
19830930,1800,,TS,14.8N,159.7W,55,-999
19831001,0000,,TD,14.7N,161.2W,25,-999
