date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19831008,0600,,TD,12.4N,104.4W,30,-999
19831008,1200,,TD,12.3N,105.1W,30,-999
19831008,1800,,TD,12.3N,105.8W,30,-999
19831009,0000,,TS,12.3N,106.4W,35,-999
19831009,0600,,TS,12.3N,107.4W,35,-999
19831009,1200,,TS,12.3N,108.6W,35,-999
19831009,1800,,TS,12.3N,109.8W,45,-999
19831010,0000,,TS,12.2N,110.5W,55,-999
19831010,0600,,TS,12.1N,113.1W,60,-999
19831010,1200,,HU,12.0N,114.6W,65,-999
19831010,1800,,HU,11.9N,116.3W,70,-999
19831011,0000,,HU,12.0N,117.9W,115,-999
19831011,0600,,HU,12.1N,119.5W,120,-999
19831011,1200,,HU,12.4N,121.2W,125,-999
19831011,1800,,HU,12.7N,122.8W,125,-999
19831012,0000,,HU,13.0N,124.3W,115,-999
19831012,0600,,HU,13.5N,126.2W,110,-999
19831012,1200,,HU,13.8N,127.7W,100,-999
19831012,1800,,HU,14.3N,129.4W,100,-999
19831013,0000,,HU,14.8N,131.4W,100,-999
19831013,0600,,HU,15.2N,133.2W,95,-999
19831013,1200,,HU,15.6N,134.9W,95,-999
19831013,1800,,HU,16.1N,136.6W,95,-999
19831014,0000,,HU,16.6N,138.0W,110,-999
19831014,0600,,HU,16.8N,139.4W,110,-999
19831014,1200,,HU,17.1N,141.0W,110,-999
19831014,1800,,HU,17.4N,142.2W,120,-999
19831015,0000,,HU,17.6N,143.5W,120,-999
19831015,0600,,HU,18.1N,144.3W,110,-999
19831015,1200,,HU,18.5N,145.1W,110,-999
19831015,1800,,HU,19.0N,145.8W,75,-999
19831016,0000,,TS,19.4N,146.3W,50,-999
19831016,0600,,TS,19.8N,146.7W,60,-999
19831016,1200,,TS,20.1N,146.9W,60,-999
19831016,1800,,TS,20.3N,147.1W,50,-999
19831017,0000,,TS,20.4N,147.3W,50,-999
19831017,0600,,TS,20.8N,147.6W,50,-999
19831017,1200,,TS,21.3N,148.0W,50,-999
19831017,1800,,TS,21.7N,148.3W,50,-999
19831018,0000,,TS,22.2N,149.1W,45,-999
19831018,0600,,TS,22.3N,149.6W,45,-999
19831018,1200,,TS,22.3N,150.0W,40,-999
19831018,1800,,TD,22.3N,150.5W,30,-999
19831019,0000,,TD,22.1N,151.2W,30,-999
19831019,0600,,TD,21.8N,152.6W,30,-999
19831019,1200,,TD,21.5N,153.5W,30,-999
19831019,1800,,TD,21.2N,154.5W,30,-999
19831020,0000,,TD,20.9N,155.4W,25,-999
19831020,0600,,TD,21.0N,156.4W,25,-999
19831020,1200,,TD,21.3N,157.5W,25,-999
19831020,1800,,TD,22.0N,159.5W,20,-999
