date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19831009,1800,,TD,13.4N,130.2W,30,-999
19831010,0000,,TS,13.8N,131.0W,35,-999
19831010,0600,,TS,14.2N,131.9W,35,-999
19831010,1200,,TS,14.5N,132.9W,35,-999
19831010,1800,,TS,14.6N,134.1W,35,-999
19831011,0000,,TD,14.6N,135.2W,30,-999
19831011,0600,,TD,14.4N,136.5W,30,-999
19831011,1200,,TD,14.3N,137.6W,30,-999
19831011,1800,,TD,14.2N,138.6W,25,-999
19831012,0000,,TD,13.9N,139.8W,20,-999
19831012,0600,,TD,13.5N,140.9W,20,-999
19831012,1200,,TD,13.1N,141.9W,25,-999
19831012,1800,,TD,12.7N,143.0W,30,-999
19831013,0000,,TS,12.3N,144.1W,35,-999
19831013,0600,,TS,11.8N,145.5W,35,-999
19831013,1200,,TS,11.6N,146.9W,35,-999
19831013,1800,,TS,11.3N,148.4W,35,-999
19831014,0000,,TS,11.2N,149.7W,40,-999
19831014,0600,,TS,11.0N,150.5W,40,-999
19831014,1200,,TS,10.6N,151.2W,40,-999
19831014,1800,,TD,10.0N,152.0W,25,-999
