date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19831011,1200,,TD,8.5N,100.4W,25,-999
19831011,1800,,TD,8.7N,100.9W,30,-999
19831012,0000,,TD,8.8N,101.4W,30,-999
19831012,0600,,TD,9.1N,102.0W,30,-999
19831012,1200,,TD,9.4N,102.6W,30,-999
19831012,1800,,TD,10.2N,102.9W,30,-999
19831013,0000,,TS,11.2N,102.9W,35,-999
19831013,0600,,TS,12.1N,102.9W,35,-999
19831013,1200,,TS,13.0N,102.9W,40,-999
19831013,1800,,TS,13.8N,102.9W,45,-999
19831014,0000,,TS,14.2N,102.9W,55,-999
19831014,0600,,TS,14.7N,102.9W,60,-999
19831014,1200,,HU,15.3N,103.1W,75,-999
19831014,1800,,HU,15.7N,103.3W,80,-999
19831015,0000,,HU,16.1N,103.6W,75,-999
19831015,0600,,HU,16.2N,103.9W,75,-999
19831015,1200,,HU,16.3N,104.2W,80,-999
19831015,1800,,HU,16.5N,104.5W,80,-999
19831016,0000,,HU,16.8N,104.9W,80,-999
19831016,0600,,HU,17.1N,105.4W,75,-999
19831016,1200,,HU,17.2N,106.0W,80,-999
19831016,1800,,HU,17.3N,106.8W,95,-999
19831017,0000,,HU,17.4N,107.4W,100,-999
19831017,0600,,HU,17.5N,108.4W,90,-999
19831017,1200,,HU,17.5N,109.0W,100,-999
19831017,1800,,HU,17.6N,109.7W,100,-999
19831018,0000,,HU,17.9N,110.1W,100,-999
19831018,0600,,HU,18.3N,110.4W,105,-999
19831018,1200,,HU,18.8N,110.4W,110,-999
19831018,1800,,HU,19.3N,110.2W,105,-999
19831019,0000,,HU,20.1N,109.5W,115,-999
19831019,0600,,HU,21.1N,108.3W,110,-999
19831019,1200,,HU,22.3N,107.0W,110,-999
19831019,1800,,ET,23.5N,105.5W,75,-999
