date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19840816,1800,,TD,9.2N,150.1W,30,-999
19840817,0000,,TS,9.4N,151.4W,35,-999
19840817,0600,,TS,9.7N,153.0W,45,-999
19840817,1200,,TS,10.1N,154.7W,45,-999
19840817,1800,,TS,10.5N,156.4W,50,-999
19840818,0000,,TS,10.9N,158.0W,60,-999
19840818,0600,,HU,11.3N,159.6W,70,-999
19840818,1200,,HU,11.7N,161.2W,75,-999
19840818,1800,,HU,11.9N,162.9W,80,-999
19840819,0000,,HU,12.0N,164.4W,80,-999
19840819,0600,,HU,12.2N,165.6W,80,-999
19840819,1200,,HU,12.6N,166.9W,80,-999
19840819,1800,,HU,13.2N,167.8W,85,-999
19840820,0000,,HU,13.9N,168.6W,90,-999
19840820,0600,,HU,14.6N,169.5W,100,-999
19840820,1200,,HU,15.5N,170.1W,90,-999
19840820,1800,,HU,16.2N,170.4W,75,-999
19840821,0000,,TS,16.7N,170.9W,60,-999
19840821,0600,,TS,17.0N,171.2W,45,-999
19840821,1200,,TS,17.1N,171.7W,40,-999
19840821,1800,,TS,17.1N,172.2W,35,-999
19840822,0000,,TD,17.0N,172.8W,30,-999
