date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19840628,0000,,TD,10.1N,101.8W,25,-999
19840628,0600,,TD,10.2N,102.6W,25,-999
19840628,1200,,TD,10.4N,103.3W,25,-999
19840628,1800,,TD,10.5N,104.0W,25,-999
19840629,0000,,TD,10.9N,104.8W,30,-999
19840629,0600,,TD,11.7N,105.6W,30,-999
19840629,1200,,TS,12.5N,106.3W,35,-999
19840629,1800,,TS,13.2N,107.0W,45,-999
19840630,0000,,TS,13.9N,107.6W,60,-999
19840630,0600,,HU,14.3N,108.3W,75,-999
19840630,1200,,HU,14.6N,109.1W,80,-999
19840630,1800,,HU,15.0N,109.9W,90,-999
19840701,0000,,HU,15.3N,110.6W,105,-999
19840701,0600,,HU,15.5N,111.4W,110,-999
19840701,1200,,HU,15.7N,112.0W,115,-999
19840701,1800,,HU,15.9N,112.8W,110,-999
19840702,0000,,HU,16.0N,113.6W,95,-999
19840702,0600,,HU,16.1N,114.3W,90,-999
19840702,1200,,HU,16.2N,115.1W,85,-999
19840702,1800,,HU,16.4N,116.0W,95,-999
19840703,0000,,HU,16.6N,116.9W,100,-999
19840703,0600,,HU,16.8N,117.8W,100,-999
19840703,1200,,HU,17.0N,118.7W,100,-999
19840703,1800,,HU,17.0N,119.6W,100,-999
19840704,0000,,HU,17.0N,120.6W,95,-999
19840704,0600,,HU,16.9N,121.4W,85,-999
19840704,1200,,HU,16.8N,122.0W,65,-999
19840704,1800,,TS,16.7N,122.5W,55,-999
19840705,0000,,TS,16.6N,122.8W,50,-999
19840705,0600,,TS,16.3N,123.1W,45,-999
19840705,1200,,TS,15.9N,123.3W,45,-999
19840705,1800,,TS,15.5N,123.5W,40,-999
19840706,0000,,TD,15.1N,123.7W,30,-999
19840706,0600,,TD,15.0N,123.7W,30,-999
19840706,1200,,TD,14.8N,123.6W,30,-999
19840706,1800,,TD,14.9N,123.3W,30,-999
19840707,0000,,TD,15.0N,123.0W,30,-999
19840707,0600,,TD,15.1N,122.6W,25,-999
19840707,1200,,TD,15.2N,122.0W,25,-999
19840707,1800,,TD,15.3N,121.2W,25,-999
19840708,0000,,TD,15.4N,120.4W,25,-999
19840708,0600,,TD,15.4N,119.5W,25,-999
19840708,1200,,TD,15.6N,117.2W,25,-999
19840708,1800,,TD,15.8N,115.8W,25,-999
