date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19840815,0000,,TD,14.5N,98.8W,25,-999
19840815,0600,,TD,14.5N,99.5W,25,-999
19840815,1200,,TD,14.6N,100.4W,25,-999
19840815,1800,,TS,15.0N,101.3W,35,-999
19840816,0000,,TS,15.4N,102.1W,35,-999
19840816,0600,,TS,15.8N,102.7W,45,-999
19840816,1200,,TS,16.1N,103.3W,50,-999
19840816,1800,,TS,16.5N,103.9W,50,-999
19840817,0000,,TS,16.8N,104.5W,50,-999
19840817,0600,,TS,17.2N,105.0W,55,-999
19840817,1200,,TS,17.6N,105.5W,45,-999
19840817,1800,,TD,17.9N,105.9W,30,-999
19840818,0000,,TD,18.3N,106.3W,30,-999
19840818,0600,,TD,18.7N,106.7W,30,-999
19840818,1200,,TD,18.9N,106.9W,30,-999
19840818,1800,,TD,19.1N,107.1W,25,-999
19840819,0000,,TD,19.3N,107.4W,25,-999
19840819,0600,,TD,19.5N,107.6W,25,-999
19840819,1200,,TD,19.7N,107.8W,25,-999
19840819,1800,,TD,19.9N,108.0W,25,-999
19840820,0000,,TD,20.0N,108.1W,25,-999
19840820,0600,,TD,20.0N,108.3W,25,-999
19840820,1200,,TD,19.7N,108.5W,25,-999
