date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19840826,0600,,TD,15.6N,114.1W,25,-999
19840826,1200,,TD,15.7N,114.8W,25,-999
19840826,1800,,TS,15.8N,115.7W,35,-999
19840827,0000,,TS,16.0N,116.8W,35,-999
19840827,0600,,TS,16.2N,117.8W,40,-999
19840827,1200,,TS,16.5N,118.9W,55,-999
19840827,1800,,HU,16.7N,120.0W,65,-999
19840828,0000,,HU,17.0N,120.9W,65,-999
19840828,0600,,HU,17.4N,121.6W,70,-999
19840828,1200,,HU,17.8N,122.6W,75,-999
19840828,1800,,HU,18.7N,123.7W,65,-999
19840829,0000,,HU,19.7N,124.7W,65,-999
19840829,0600,,TS,20.6N,125.6W,55,-999
19840829,1200,,TS,21.7N,126.7W,50,-999
19840829,1800,,TS,22.7N,127.5W,40,-999
19840830,0000,,TD,23.8N,128.7W,30,-999
19840830,0600,,TD,24.8N,129.9W,25,-999
