date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19840914,1800,,TD,18.5N,115.5W,30,-999
19840915,0000,,TS,18.1N,115.5W,35,-999
19840915,0600,,TS,17.9N,115.2W,35,-999
19840915,1200,,TS,17.8N,115.0W,35,-999
19840915,1800,,TS,17.7N,114.8W,35,-999
19840916,0000,,TS,17.5N,114.3W,35,-999
19840916,0600,,TS,17.3N,113.7W,35,-999
19840916,1200,,HU,17.2N,113.0W,65,-999
19840916,1800,,HU,17.1N,112.5W,70,-999
19840917,0000,,HU,17.1N,112.0W,75,-999
19840917,0600,,HU,17.4N,111.8W,80,-999
19840917,1200,,HU,17.7N,111.7W,80,-999
19840917,1800,,HU,17.9N,111.8W,85,-999
19840918,0000,,HU,18.3N,112.0W,100,-999
19840918,0600,,HU,18.6N,112.5W,100,-999
19840918,1200,,HU,18.9N,112.9W,100,-999
19840918,1800,,HU,19.1N,113.4W,100,-999
19840919,0000,,HU,19.4N,113.9W,100,-999
19840919,0600,,HU,19.5N,114.6W,100,-999
19840919,1200,,HU,19.6N,115.1W,100,-999
19840919,1800,,HU,19.5N,115.8W,100,-999
19840920,0000,,HU,19.4N,116.3W,100,-999
19840920,0600,,HU,18.9N,116.7W,100,-999
19840920,1200,,HU,18.3N,116.7W,110,-999
19840920,1800,,HU,17.8N,116.5W,105,-999
19840921,0000,,HU,17.3N,116.1W,115,-999
19840921,0600,,HU,16.9N,115.4W,105,-999
19840921,1200,,HU,16.6N,114.4W,105,-999
19840921,1800,,HU,16.5N,113.3W,105,-999
19840922,0000,,HU,16.5N,111.9W,115,-999
19840922,0600,,HU,16.5N,110.8W,105,-999
19840922,1200,,HU,16.6N,109.7W,105,-999
19840922,1800,,HU,17.0N,108.9W,115,-999
19840923,0000,,HU,17.4N,108.4W,115,-999
19840923,0600,,HU,17.8N,108.3W,110,-999
19840923,1200,,HU,18.3N,108.3W,105,-999
19840923,1800,,HU,18.8N,108.7W,105,-999
19840924,0000,,HU,19.3N,109.1W,110,-999
19840924,0600,,HU,19.9N,109.6W,115,-999
19840924,1200,,HU,20.7N,110.3W,115,-999
19840924,1800,,HU,21.5N,111.1W,100,-999
19840925,0000,,HU,22.3N,112.0W,90,-999
19840925,0600,,HU,23.1N,112.6W,105,-999
19840925,1200,,HU,24.1N,113.1W,105,-999
19840925,1800,,HU,25.1N,113.5W,75,-999
19840926,0000,,TS,26.1N,113.6W,60,-999
19840926,0600,,TS,27.1N,113.5W,45,-999
