date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19841031,0000,,TD,13.1N,98.4W,25,-999
19841031,0600,,TD,13.1N,99.2W,30,-999
19841031,1200,,TD,13.1N,100.2W,30,-999
19841031,1800,,TD,13.3N,101.4W,30,-999
19841101,0000,,TS,13.6N,102.7W,35,-999
19841101,0600,,TS,14.0N,104.0W,45,-999
19841101,1200,,TS,14.3N,105.7W,45,-999
19841101,1800,,TS,14.5N,107.3W,45,-999
19841102,0000,,TS,14.6N,108.7W,45,-999
19841102,0600,,TS,14.8N,110.4W,45,-999
19841102,1200,,TS,15.0N,112.1W,50,-999
19841102,1800,,TS,15.3N,113.8W,55,-999
19841103,0000,,TS,15.4N,115.4W,55,-999
19841103,0600,,TS,15.2N,117.0W,55,-999
19841103,1200,,TS,14.9N,118.7W,55,-999
19841103,1800,,TS,14.5N,120.1W,45,-999
19841104,0000,,TS,14.2N,121.6W,40,-999
19841104,0600,,TS,13.8N,123.2W,40,-999
19841104,1200,,TS,13.6N,124.6W,40,-999
19841104,1800,,TS,13.7N,126.1W,35,-999
19841105,0000,,TD,14.2N,127.4W,30,-999
19841105,0600,,TD,14.6N,128.4W,30,-999
19841105,1200,,TD,15.0N,129.2W,30,-999
19841105,1800,,TD,15.6N,129.8W,30,-999
19841106,0000,,TD,16.0N,130.2W,30,-999
19841106,0600,,TD,16.2N,130.4W,25,-999
19841106,1200,,TD,16.2N,130.7W,30,-999
19841106,1800,,TD,16.3N,130.9W,25,-999
19841107,0000,,TD,16.2N,131.1W,25,-999
19841107,0600,,TD,16.2N,131.4W,25,-999
19841107,1200,,TD,16.1N,131.6W,25,-999
19841107,1800,,TD,16.0N,132.3W,25,-999
19841108,0000,,TD,15.7N,133.2W,25,-999
