date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19850605,1800,,TS,15.7N,100.6W,35,-999
19850606,0000,,TS,16.0N,101.7W,40,-999
19850606,0600,,TS,16.2N,103.0W,40,-999
19850606,1200,,TS,16.4N,104.1W,40,-999
19850606,1800,,TS,16.7N,105.3W,50,-999
19850607,0000,,TS,16.9N,106.5W,50,-999
19850607,0600,,TS,17.2N,108.0W,55,-999
19850607,1200,,TS,17.0N,109.8W,60,-999
19850607,1800,,TS,16.6N,110.9W,45,-999
19850608,0000,,TS,16.0N,111.8W,40,-999
19850608,0600,,TD,15.2N,112.4W,30,-999
19850608,1200,,TD,14.5N,112.8W,25,-999
19850608,1800,,TD,14.1N,113.3W,30,-999
19850609,0000,,TD,13.9N,113.9W,30,-999
19850609,0600,,TD,13.9N,114.5W,30,-999
19850609,1200,,TD,14.0N,115.2W,30,-999
19850609,1800,,TD,14.5N,116.0W,30,-999
19850610,0000,,TD,15.2N,117.0W,25,-999
19850610,0600,,TD,15.5N,118.3W,25,-999
19850610,1200,,TD,15.4N,119.6W,25,-999
19850610,1800,,TD,15.3N,120.9W,30,-999
19850611,0000,,TD,15.3N,122.1W,30,-999
19850611,0600,,TD,15.4N,123.3W,25,-999
19850611,1200,,TD,15.5N,124.3W,25,-999
19850611,1800,,TD,15.6N,125.4W,25,-999
19850612,0000,,TD,15.7N,126.5W,25,-999
19850612,0600,,TD,15.8N,127.7W,25,-999
