date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19850606,1800,,TD,10.2N,92.8W,30,-999
19850607,0000,,TD,10.3N,93.5W,30,-999
19850607,0600,,TS,10.6N,94.1W,35,-999
19850607,1200,,TS,10.8N,94.8W,35,-999
19850607,1800,,TS,11.2N,95.7W,45,-999
19850608,0000,,HU,11.6N,96.6W,65,-999
19850608,0600,,HU,12.0N,97.6W,65,-999
19850608,1200,,HU,12.3N,98.6W,65,-999
19850608,1800,,HU,12.7N,99.6W,65,-999
19850609,0000,,HU,12.9N,100.5W,65,-999
19850609,0600,,HU,13.1N,101.2W,70,-999
19850609,1200,,HU,13.3N,101.8W,75,-999
19850609,1800,,HU,13.4N,102.4W,80,-999
19850610,0000,,HU,13.7N,103.0W,85,-999
19850610,0600,,HU,13.9N,103.7W,75,-999
19850610,1200,,HU,14.3N,104.5W,85,-999
19850610,1800,,HU,14.6N,105.3W,85,-999
19850611,0000,,HU,15.0N,106.0W,85,-999
19850611,0600,,HU,15.3N,106.7W,85,-999
19850611,1200,,HU,15.4N,107.5W,85,-999
19850611,1800,,HU,15.5N,108.2W,90,-999
19850612,0000,,HU,15.3N,108.7W,90,-999
19850612,0600,,HU,15.4N,109.3W,90,-999
19850612,1200,,HU,15.6N,109.9W,90,-999
19850612,1800,,HU,15.7N,110.6W,90,-999
19850613,0000,,HU,15.9N,111.3W,90,-999
19850613,0600,,HU,16.0N,112.1W,100,-999
19850613,1200,,HU,16.2N,112.8W,100,-999
19850613,1800,,HU,16.3N,113.7W,100,-999
19850614,0000,,HU,16.5N,114.6W,105,-999
19850614,0600,,HU,16.6N,115.5W,100,-999
19850614,1200,,HU,16.7N,116.4W,90,-999
19850614,1800,,HU,16.8N,117.4W,85,-999
19850615,0000,,HU,16.9N,118.5W,80,-999
19850615,0600,,HU,17.0N,119.5W,75,-999
19850615,1200,,HU,17.1N,120.4W,65,-999
19850615,1800,,TS,17.1N,121.4W,60,-999
19850616,0000,,TS,17.1N,122.1W,60,-999
19850616,0600,,TS,17.2N,122.7W,50,-999
19850616,1200,,TD,17.2N,123.3W,30,-999
19850616,1800,,TD,17.2N,123.8W,25,-999
