date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19850702,1200,,TD,14.8N,102.2W,25,-999
19850702,1800,,TD,15.1N,103.2W,30,-999
19850703,0000,,TS,15.5N,104.4W,35,-999
19850703,0600,,TS,16.2N,105.6W,35,-999
19850703,1200,,TS,17.0N,106.5W,40,-999
19850703,1800,,TS,18.1N,107.2W,50,-999
19850704,0000,,TS,19.3N,107.8W,60,-999
19850704,0600,,TS,20.1N,108.5W,60,-999
19850704,1200,,TS,20.6N,109.0W,60,-999
19850704,1800,,TS,20.9N,109.7W,50,-999
19850705,0000,,TS,21.2N,110.3W,45,-999
19850705,0600,,TD,21.4N,110.9W,30,-999
19850705,1200,,TD,21.6N,111.5W,30,-999
19850705,1800,,TD,21.8N,112.0W,25,-999
19850706,0000,,TD,22.0N,112.4W,25,-999
19850706,0600,,TD,22.4N,112.8W,25,-999
19850706,1200,,TD,22.8N,113.0W,25,-999
19850706,1800,,TD,23.3N,113.1W,20,-999
