date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19850819,1800,,TD,15.5N,111.8W,25,-999
19850820,0000,,TD,15.9N,112.8W,25,-999
19850820,0600,,TD,16.5N,114.0W,25,-999
19850820,1200,,TD,17.0N,115.3W,25,-999
19850820,1800,,TD,17.3N,116.6W,25,-999
19850821,0000,,TD,17.5N,117.8W,30,-999
19850821,0600,,TD,17.8N,119.0W,30,-999
19850821,1200,,TS,18.0N,120.1W,35,-999
19850821,1800,,TS,18.4N,121.1W,35,-999
19850822,0000,,TS,19.0N,122.0W,40,-999
19850822,0600,,TS,19.8N,123.2W,35,-999
19850822,1200,,TD,20.6N,124.4W,30,-999
19850822,1800,,TD,21.3N,125.3W,30,-999
19850823,0000,,TD,22.1N,126.1W,30,-999
19850823,0600,,TD,22.7N,127.0W,25,-999
19850823,1200,,TD,23.5N,127.8W,25,-999
