date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19860915,1800,,TD,12.7N,103.9W,25,-999
19860916,0000,,TD,12.5N,105.4W,30,-999
19860916,0600,,TD,12.4N,106.8W,30,-999
19860916,1200,,TD,12.3N,108.1W,30,-999
19860916,1800,,TS,12.3N,109.6W,35,-999
19860917,0000,,TS,12.4N,110.8W,35,-999
19860917,0600,,TS,12.5N,112.1W,40,-999
19860917,1200,,TS,12.6N,113.4W,45,-999
19860917,1800,,TS,12.8N,115.0W,50,-999
19860918,0000,,TS,13.0N,116.6W,55,-999
19860918,0600,,TS,13.2N,118.2W,60,-999
19860918,1200,,TS,13.5N,119.9W,60,-999
19860918,1800,,TS,14.0N,121.6W,60,-999
19860919,0000,,TS,14.4N,123.2W,60,-999
19860919,0600,,TS,14.8N,125.0W,55,-999
19860919,1200,,TS,14.9N,126.8W,45,-999
19860919,1800,,TS,15.0N,128.4W,35,-999
19860920,0000,,TS,15.5N,129.6W,35,-999
19860920,0600,,TS,16.3N,130.0W,35,-999
19860920,1200,,TS,17.0N,130.3W,35,-999
19860920,1800,,TS,17.7N,130.5W,35,-999
19860921,0000,,TS,18.4N,130.5W,35,-999
19860921,0600,,TS,18.7N,130.2W,35,-999
19860921,1200,,TS,19.1N,129.9W,35,-999
19860921,1800,,TS,19.4N,129.6W,35,-999
19860922,0000,,TD,19.8N,129.3W,30,-999
19860922,0600,,TD,20.2N,129.0W,25,-999
19860922,1200,,TD,20.5N,129.8W,25,-999
