date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19860918,1200,,TD,12.4N,94.5W,25,-999
19860918,1800,,TD,12.7N,95.8W,25,-999
19860919,0000,,TD,12.9N,97.0W,25,-999
19860919,0600,,TD,13.3N,98.2W,25,-999
19860919,1200,,TD,13.6N,99.6W,25,-999
19860919,1800,,TD,14.1N,101.0W,30,-999
19860920,0000,,TS,14.8N,102.0W,35,-999
19860920,0600,,TS,15.3N,102.9W,40,-999
19860920,1200,,TS,15.9N,103.8W,45,-999
19860920,1800,,TS,16.7N,104.6W,45,-999
19860921,0000,,TS,17.5N,105.2W,50,-999
19860921,0600,,HU,18.5N,105.9W,65,-999
19860921,1200,,HU,19.4N,106.4W,65,-999
19860921,1800,,HU,20.3N,106.8W,65,-999
19860922,0000,,HU,21.2N,107.3W,65,-999
19860922,0600,,HU,22.0N,107.7W,65,-999
19860922,1200,,HU,22.8N,108.4W,65,-999
19860922,1800,,HU,23.6N,109.1W,65,-999
19860923,0000,,HU,24.5N,109.7W,70,-999
19860923,0600,,HU,25.2N,109.9W,75,-999
19860923,1200,,HU,26.1N,109.9W,65,-999
19860923,1800,,HU,26.7N,109.8W,65,-999
19860924,0000,,TS,27.3N,109.7W,50,-999
