date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19860928,0000,,TD,11.5N,93.0W,25,-999
19860928,0600,,TD,11.5N,94.6W,25,-999
19860928,1200,,TD,11.6N,96.2W,25,-999
19860928,1800,,TD,11.8N,97.9W,25,-999
19860929,0000,,TD,12.4N,99.4W,30,-999
19860929,0600,,TD,13.0N,100.7W,30,-999
19860929,1200,,TD,13.7N,102.0W,30,-999
19860929,1800,,TD,14.5N,103.3W,30,-999
19860930,0000,,TS,15.4N,104.5W,35,-999
19860930,0600,,TS,16.3N,105.6W,35,-999
19860930,1200,,TS,17.2N,106.6W,35,-999
19860930,1800,,TS,18.0N,107.3W,40,-999
19861001,0000,,HU,18.9N,108.0W,70,-999
19861001,0600,,HU,19.7N,108.7W,70,-999
19861001,1200,,HU,20.5N,109.1W,75,-999
19861001,1800,,HU,21.5N,109.2W,80,-999
19861002,0000,,HU,22.5N,109.1W,85,-999
19861002,0600,,HU,23.7N,108.9W,80,-999
19861002,1200,,HU,25.1N,108.6W,80,-999
19861002,1800,,TD,27.2N,107.3W,25,-999
