date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19870715,0000,,TD,15.3N,102.5W,25,-999
19870715,0600,,TD,15.5N,103.8W,30,-999
19870715,1200,,TS,15.8N,105.0W,35,-999
19870715,1800,,TS,16.2N,106.3W,35,-999
19870716,0000,,TS,16.5N,107.5W,35,-999
19870716,0600,,TS,16.8N,108.5W,35,-999
19870716,1200,,TS,16.9N,109.3W,35,-999
19870716,1800,,TS,17.0N,110.2W,35,-999
19870717,0000,,TS,17.2N,111.0W,40,-999
19870717,0600,,TS,17.5N,111.8W,40,-999
19870717,1200,,TS,17.9N,112.4W,50,-999
19870717,1800,,TS,18.4N,113.0W,50,-999
19870718,0000,,TS,18.8N,113.6W,45,-999
19870718,0600,,TS,19.2N,114.0W,45,-999
19870718,1200,,TS,19.8N,114.6W,40,-999
19870718,1800,,TS,20.2N,115.1W,35,-999
19870719,0000,,TS,20.7N,115.6W,35,-999
19870719,0600,,TD,21.2N,116.0W,30,-999
19870719,1200,,TD,21.7N,116.2W,30,-999
19870719,1800,,TD,22.3N,116.4W,25,-999
19870720,0000,,TD,21.7N,116.6W,25,-999
