date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19870722,0000,,TD,11.0N,97.0W,25,-999
19870722,0600,,TD,11.2N,98.4W,25,-999
19870722,1200,,TD,11.7N,99.6W,30,-999
19870722,1800,,TS,12.3N,100.7W,35,-999
19870723,0000,,TS,12.9N,101.3W,35,-999
19870723,0600,,TS,13.6N,101.8W,40,-999
19870723,1200,,TS,14.3N,102.1W,45,-999
19870723,1800,,TS,15.1N,102.4W,50,-999
19870724,0000,,TS,15.6N,102.6W,55,-999
19870724,0600,,TS,15.9N,103.0W,60,-999
19870724,1200,,HU,16.2N,103.5W,65,-999
19870724,1800,,HU,16.7N,103.8W,75,-999
19870725,0000,,HU,17.7N,104.2W,80,-999
19870725,0600,,HU,18.5N,104.6W,85,-999
19870725,1200,,HU,19.4N,105.0W,80,-999
19870725,1800,,TS,20.0N,105.2W,50,-999
19870726,0000,,TS,20.7N,105.7W,40,-999
19870726,0600,,TD,21.4N,105.9W,30,-999
19870726,1200,,TD,22.0N,106.3W,20,-999
