date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19870731,1800,,TD,10.7N,92.4W,25,-999
19870801,0000,,TD,11.0N,93.4W,30,-999
19870801,0600,,TD,11.4N,94.4W,30,-999
19870801,1200,,TS,11.7N,95.3W,35,-999
19870801,1800,,TS,11.9N,96.3W,40,-999
19870802,0000,,TS,12.1N,97.2W,45,-999
19870802,0600,,TS,12.3N,98.2W,55,-999
19870802,1200,,HU,12.5N,99.3W,65,-999
19870802,1800,,HU,12.7N,100.3W,70,-999
19870803,0000,,HU,13.0N,101.6W,75,-999
19870803,0600,,HU,13.4N,102.8W,80,-999
19870803,1200,,HU,13.8N,104.0W,90,-999
19870803,1800,,HU,14.2N,105.2W,100,-999
19870804,0000,,HU,14.6N,106.4W,105,-999
19870804,0600,,HU,14.9N,107.5W,105,-999
19870804,1200,,HU,15.2N,108.4W,105,-999
19870804,1800,,HU,15.4N,109.4W,90,-999
19870805,0000,,HU,15.6N,110.4W,85,-999
19870805,0600,,HU,15.9N,111.3W,80,-999
19870805,1200,,HU,16.2N,112.2W,85,-999
19870805,1800,,HU,16.7N,113.1W,95,-999
19870806,0000,,HU,17.0N,114.0W,95,-999
19870806,0600,,HU,17.5N,114.8W,90,-999
19870806,1200,,HU,18.2N,115.7W,85,-999
19870806,1800,,HU,18.8N,116.9W,75,-999
19870807,0000,,HU,19.2N,117.9W,65,-999
19870807,0600,,HU,19.6N,118.7W,65,-999
19870807,1200,,TS,20.0N,119.5W,60,-999
19870807,1800,,TS,20.5N,120.2W,60,-999
19870808,0000,,TS,21.2N,120.8W,60,-999
19870808,0600,,TS,21.5N,121.3W,55,-999
19870808,1200,,TS,21.7N,121.9W,45,-999
19870808,1800,,TS,21.9N,122.6W,35,-999
19870809,0000,,TD,22.1N,123.3W,30,-999
19870809,0600,,TD,22.4N,123.9W,30,-999
