date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19870909,1200,,TD,11.3N,100.0W,25,-999
19870909,1800,,TD,11.2N,101.3W,30,-999
19870910,0000,,TS,11.1N,102.7W,35,-999
19870910,0600,,TS,11.1N,104.0W,45,-999
19870910,1200,,TS,11.2N,105.1W,45,-999
19870910,1800,,TS,11.3N,106.3W,50,-999
19870911,0000,,TS,11.5N,107.3W,60,-999
19870911,0600,,HU,11.8N,108.4W,65,-999
19870911,1200,,HU,12.2N,109.3W,70,-999
19870911,1800,,HU,12.6N,110.1W,80,-999
19870912,0000,,HU,13.1N,111.3W,90,-999
19870912,0600,,HU,13.5N,112.0W,100,-999
19870912,1200,,HU,13.9N,113.9W,105,-999
19870912,1800,,HU,14.2N,115.0W,115,-999
19870913,0000,,HU,14.6N,116.0W,125,-999
19870913,0600,,HU,15.1N,116.8W,135,-999
19870913,1200,,HU,15.9N,117.5W,135,-999
19870913,1800,,HU,16.7N,118.1W,135,-999
19870914,0000,,HU,17.5N,118.6W,135,-999
19870914,0600,,HU,18.0N,119.0W,115,-999
19870914,1200,,HU,18.7N,119.2W,105,-999
19870914,1800,,HU,19.4N,119.6W,100,-999
19870915,0000,,HU,19.9N,120.1W,90,-999
19870915,0600,,HU,20.4N,120.5W,75,-999
19870915,1200,,HU,20.8N,121.0W,65,-999
19870915,1800,,TS,21.3N,121.7W,45,-999
19870916,0000,,TS,21.6N,122.5W,35,-999
19870916,0600,,TD,21.7N,123.1W,30,-999
19870916,1200,,TD,21.8N,123.4W,25,-999
