date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19871005,1800,,TS,12.2N,104.2W,35,-999
19871006,0000,,TS,12.3N,104.9W,35,-999
19871006,0600,,TS,12.5N,105.8W,35,-999
19871006,1200,,TS,12.7N,106.7W,35,-999
19871006,1800,,TS,12.9N,107.6W,35,-999
19871007,0000,,TS,13.1N,108.5W,45,-999
19871007,0600,,TS,13.4N,109.2W,55,-999
19871007,1200,,HU,13.7N,109.8W,65,-999
19871007,1800,,HU,14.1N,110.6W,75,-999
19871008,0000,,HU,14.3N,111.3W,80,-999
19871008,0600,,HU,14.6N,111.8W,80,-999
19871008,1200,,HU,14.7N,112.5W,95,-999
19871008,1800,,HU,14.8N,113.1W,100,-999
19871009,0000,,HU,15.0N,113.8W,110,-999
19871009,0600,,HU,15.1N,114.4W,120,-999
19871009,1200,,HU,15.3N,115.1W,120,-999
19871009,1800,,HU,15.5N,115.8W,120,-999
19871010,0000,,HU,16.0N,116.5W,120,-999
19871010,0600,,HU,16.4N,117.4W,115,-999
19871010,1200,,HU,17.1N,118.1W,115,-999
19871010,1800,,HU,17.8N,118.9W,110,-999
19871011,0000,,HU,18.6N,119.2W,100,-999
19871011,0600,,HU,19.5N,119.8W,80,-999
19871011,1200,,HU,20.3N,120.1W,75,-999
19871011,1800,,TS,21.3N,120.8W,45,-999
19871012,0000,,TD,21.9N,121.4W,25,-999
19871012,0600,,TD,22.0N,122.1W,20,-999
