date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19871027,0000,,TD,9.5N,121.2W,25,-999
19871027,0600,,TD,9.9N,122.4W,30,-999
19871027,1200,,TD,10.7N,123.6W,30,-999
19871027,1800,,TS,11.7N,124.4W,35,-999
19871028,0000,,TS,13.3N,125.0W,35,-999
19871028,0600,,TS,14.4N,125.3W,35,-999
19871028,1200,,TS,15.4N,125.6W,35,-999
19871028,1800,,TD,16.4N,125.8W,30,-999
19871029,0000,,TD,17.0N,125.9W,30,-999
19871029,0600,,TD,17.6N,126.0W,30,-999
19871029,1200,,TD,18.3N,125.9W,30,-999
19871029,1800,,TS,19.1N,125.9W,35,-999
19871030,0000,,TS,19.9N,125.8W,35,-999
19871030,0600,,TD,20.7N,125.4W,30,-999
19871030,1200,,TD,21.5N,124.6W,25,-999
19871030,1800,,TD,22.3N,123.9W,25,-999
19871031,0000,,TD,23.2N,123.4W,25,-999
19871031,0600,,TD,24.1N,122.8W,20,-999
