date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19880616,1800,,TD,14.3N,101.4W,30,1007
19880617,0000,,TS,14.8N,101.3W,35,1004
19880617,0600,,TS,15.2N,101.3W,50,1000
19880617,1200,,TS,15.5N,101.4W,50,997
19880617,1800,,TS,15.8N,101.5W,55,995
19880618,0000,,TS,16.1N,101.6W,60,993
19880618,0600,,TS,16.4N,101.7W,60,992
19880618,1200,,TS,16.7N,101.9W,60,992
19880618,1800,,TS,17.0N,102.2W,60,993
19880619,0000,,TS,17.2N,102.6W,55,995
19880619,0600,,TS,17.3N,103.1W,50,998
19880619,1200,,TS,17.5N,103.6W,40,1002
19880619,1800,,TD,17.5N,104.2W,30,1006
19880620,0000,,TD,17.5N,104.8W,25,1008
19880620,0600,,TD,17.5N,105.4W,20,1009
19880620,1200,,TD,17.5N,105.9W,20,1010
19880620,1800,,TD,17.5N,106.4W,20,1011
19880621,0000,,TD,17.4N,106.9W,15,1011
19880621,0600,,TD,17.3N,107.4W,15,1012
19880621,1200,,TD,17.0N,108.0W,15,1012
