date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19880829,0000,,TD,13.0N,98.0W,30,1012
19880829,0600,,TD,13.7N,99.0W,30,1010
19880829,1200,,TS,14.4N,100.0W,35,1008
19880829,1800,,TS,15.1N,101.1W,40,1007
19880830,0000,,TS,15.7N,102.2W,45,1002
19880830,0600,,TS,16.0N,103.2W,50,998
19880830,1200,,TS,16.3N,104.3W,55,995
19880830,1800,,TS,16.9N,105.1W,60,992
19880831,0000,,HU,17.4N,106.0W,65,987
19880831,0600,,HU,17.7N,106.8W,70,984
19880831,1200,,HU,18.1N,107.7W,70,981
19880831,1800,,HU,18.3N,108.5W,75,978
19880901,0000,,HU,18.4N,109.5W,80,976
19880901,0600,,HU,18.5N,109.9W,80,977
19880901,1200,,HU,18.4N,110.3W,75,979
19880901,1800,,HU,18.2N,110.7W,70,984
19880902,0000,,HU,17.8N,111.1W,65,988
19880902,0600,,TS,17.7N,111.6W,60,993
19880902,1200,,TS,17.9N,112.2W,55,996
19880902,1800,,TS,18.2N,112.7W,45,999
19880903,0000,,TS,18.3N,113.1W,40,1001
19880903,0600,,TS,18.4N,113.6W,35,1003
19880903,1200,,TD,18.5N,114.0W,30,1005
19880903,1800,,TD,18.6N,114.3W,30,1007
19880904,0000,,TD,18.7N,114.6W,30,1009
19880904,0600,,TD,18.8N,114.8W,25,1010
19880904,1200,,TD,18.8N,114.8W,25,1011
19880904,1800,,TD,18.8N,115.1W,25,1012
19880905,0000,,TD,19.0N,114.9W,25,1012
19880905,0600,,TD,18.7N,115.0W,25,1012
19880905,1200,,TD,18.5N,114.9W,20,1012
19880905,1800,,TD,18.8N,114.0W,20,1013
19880906,0000,,TD,18.9N,113.4W,20,1013
19880906,0600,,TD,18.9N,113.2W,20,1013
19880906,1200,,TD,18.9N,113.0W,20,1013
