date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19890531,1800,,TD,10.0N,113.8W,30,1009
19890601,0000,,TD,10.3N,115.3W,30,1007
19890601,0600,,TS,10.5N,116.5W,35,1004
19890601,1200,,TS,10.8N,117.5W,45,1000
19890601,1800,,TS,11.0N,118.5W,50,997
19890602,0000,,TS,11.3N,119.5W,55,994
19890602,0600,,TS,11.8N,120.7W,55,994
19890602,1200,,TS,12.4N,121.9W,50,997
19890602,1800,,TS,13.2N,123.4W,50,999
19890603,0000,,TS,13.9N,124.8W,45,1000
19890603,0600,,TS,14.6N,126.1W,45,1000
19890603,1200,,TS,15.1N,127.1W,45,999
19890603,1800,,TS,15.6N,127.8W,50,997
19890604,0000,,TS,16.1N,128.5W,50,998
19890604,0600,,TS,16.5N,129.1W,50,1000
19890604,1200,,TS,16.7N,129.4W,40,1003
19890604,1800,,TD,16.5N,129.6W,30,1007
19890605,0000,,TD,16.2N,129.9W,25,1010
19890605,0600,,TD,16.0N,130.4W,25,1010
19890605,1200,,TD,15.9N,130.9W,25,1010
19890605,1800,,TD,15.9N,131.4W,25,1010
