date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19890615,1800,,TD,12.9N,107.4W,25,1010
19890616,0000,,TD,13.5N,107.1W,25,1010
19890616,0600,,TD,13.7N,106.9W,25,1010
19890616,1200,,TD,13.8N,106.9W,30,1009
19890616,1800,,TS,14.0N,107.1W,35,1005
19890617,0000,,TS,14.3N,107.3W,45,1000
19890617,0600,,TS,14.6N,107.6W,50,997
19890617,1200,,TS,15.1N,108.0W,55,994
19890617,1800,,TS,15.5N,108.6W,60,990
19890618,0000,,HU,15.9N,109.4W,65,987
19890618,0600,,HU,16.2N,110.3W,70,984
19890618,1200,,HU,16.4N,111.1W,70,984
19890618,1800,,HU,16.7N,111.9W,65,987
19890619,0000,,TS,17.0N,112.7W,60,990
19890619,0600,,TS,17.3N,113.4W,55,994
19890619,1200,,TS,17.4N,114.0W,45,1000
19890619,1800,,TS,17.4N,114.4W,35,1005
19890620,0000,,TD,17.6N,115.0W,30,1009
19890620,0600,,TD,17.7N,115.3W,25,1010
19890620,1200,,TD,17.8N,116.1W,25,1010
19890620,1800,,TD,17.8N,116.7W,25,1010
19890621,0000,,TD,17.7N,117.3W,20,1011
