date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19890711,1200,,TD,10.1N,108.8W,25,1014
19890711,1800,,TD,10.0N,109.9W,25,1013
19890712,0000,,TD,10.2N,110.9W,25,1012
19890712,0600,,TD,10.0N,112.1W,30,1010
19890712,1200,,TD,10.2N,113.3W,30,1008
19890712,1800,,TS,10.4N,114.5W,35,1005
19890713,0000,,TS,10.7N,115.6W,45,998
19890713,0600,,TS,11.0N,116.9W,55,994
19890713,1200,,TS,11.3N,118.1W,60,991
19890713,1800,,HU,11.8N,119.4W,65,989
19890714,0000,,HU,12.3N,120.7W,65,987
19890714,0600,,HU,12.5N,122.1W,65,986
19890714,1200,,HU,12.6N,123.5W,70,985
19890714,1800,,HU,12.9N,124.9W,70,983
19890715,0000,,HU,13.4N,126.4W,70,982
19890715,0600,,HU,13.7N,127.9W,75,981
19890715,1200,,HU,13.8N,129.4W,75,980
19890715,1800,,HU,13.8N,130.9W,75,979
19890716,0000,,HU,13.8N,132.3W,75,979
19890716,0600,,HU,13.8N,134.0W,75,978
19890716,1200,,HU,13.9N,135.8W,80,978
19890716,1800,,HU,14.0N,137.9W,80,977
19890717,0000,,HU,14.1N,139.8W,75,977
19890717,0600,,HU,14.4N,141.8W,65,-999
19890717,1200,,HU,14.5N,143.5W,65,-999
19890717,1800,,HU,14.8N,145.2W,65,-999
19890718,0000,,HU,14.8N,146.8W,65,-999
19890718,0600,,HU,14.8N,148.2W,65,-999
19890718,1200,,HU,14.8N,149.4W,65,-999
19890718,1800,,HU,14.4N,149.7W,65,-999
19890719,0000,,HU,14.6N,150.8W,65,-999
19890719,0600,,HU,15.2N,151.6W,65,-999
19890719,1200,,HU,15.8N,152.5W,65,-999
19890719,1800,,TS,16.6N,153.6W,60,-999
19890720,0000,,TS,17.3N,155.2W,55,-999
19890720,0600,,TS,18.5N,156.5W,55,-999
19890720,1200,,TS,18.6N,157.5W,55,-999
19890720,1800,,TS,19.5N,158.0W,50,-999
19890721,0000,,TS,19.8N,158.9W,45,-999
19890721,0600,,TS,20.4N,160.2W,45,-999
19890721,1200,,TS,20.5N,160.2W,35,-999
19890721,1800,,TD,20.8N,163.5W,25,-999
