date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19890814,1200,,TD,12.5N,98.9W,20,1012
19890814,1800,,TD,12.8N,99.2W,25,1011
19890815,0000,,TD,13.1N,99.6W,25,1010
19890815,0600,,TD,13.6N,99.9W,30,1008
19890815,1200,,TD,14.3N,100.2W,30,1006
19890815,1800,,TS,14.9N,100.5W,35,1004
19890816,0000,,TS,15.3N,101.0W,40,1000
19890816,0600,,TS,15.6N,101.6W,50,995
19890816,1200,,HU,15.8N,102.2W,65,990
19890816,1800,,HU,16.0N,102.9W,75,985
19890817,0000,,HU,16.1N,103.5W,80,978
19890817,0600,,HU,16.3N,104.4W,90,970
19890817,1200,,HU,16.5N,105.5W,90,968
19890817,1800,,HU,16.7N,106.7W,85,972
19890818,0000,,HU,16.9N,107.8W,80,978
19890818,0600,,HU,17.0N,108.9W,80,978
19890818,1200,,HU,17.3N,110.1W,85,976
19890818,1800,,HU,17.6N,111.5W,90,970
19890819,0000,,HU,17.9N,112.9W,90,968
19890819,0600,,HU,18.2N,114.2W,95,962
19890819,1200,,HU,18.4N,115.6W,100,958
19890819,1800,,HU,18.7N,116.8W,105,955
19890820,0000,,HU,18.9N,118.0W,100,956
19890820,0600,,HU,19.0N,119.2W,90,965
19890820,1200,,HU,19.0N,120.3W,80,975
19890820,1800,,HU,18.9N,121.3W,70,985
19890821,0000,,HU,18.7N,122.4W,70,987
19890821,0600,,HU,18.7N,123.3W,75,984
19890821,1200,,HU,18.6N,124.3W,85,975
19890821,1800,,HU,18.4N,125.2W,90,965
19890822,0000,,HU,18.2N,126.2W,95,962
19890822,0600,,HU,18.2N,127.1W,95,963
19890822,1200,,HU,18.2N,128.0W,90,968
19890822,1800,,HU,18.3N,129.0W,85,972
19890823,0000,,HU,18.4N,130.0W,80,980
19890823,0600,,HU,18.5N,131.1W,70,985
19890823,1200,,HU,18.6N,132.3W,65,990
19890823,1800,,TS,18.6N,133.4W,55,994
19890824,0000,,TS,18.6N,134.5W,45,998
19890824,0600,,TS,18.6N,135.5W,35,1000
19890824,1200,,TD,18.7N,136.5W,30,1004
19890824,1800,,TD,18.9N,137.5W,30,1008
19890825,0000,,TD,19.0N,138.5W,25,1010
19890825,0600,,TD,19.3N,139.5W,25,1011
19890825,1200,,TD,19.5N,140.5W,20,1012
