date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19890828,1800,,TD,12.8N,95.2W,25,1009
19890829,0000,,TD,12.9N,96.3W,30,1008
19890829,0600,,TD,13.0N,97.2W,30,1007
19890829,1200,,TD,13.2N,97.9W,30,1006
19890829,1800,,TS,13.4N,98.5W,35,1005
19890830,0000,,TS,13.8N,99.4W,35,1003
19890830,0600,,TS,14.3N,100.4W,35,1002
19890830,1200,,TS,14.9N,101.4W,40,1002
19890830,1800,,TS,15.5N,102.4W,40,1002
19890831,0000,,TS,16.1N,103.5W,40,1002
19890831,0600,,TS,16.7N,104.6W,35,1003
19890831,1200,,TS,17.4N,105.5W,35,1005
19890831,1800,,TD,18.4N,106.1W,25,1008
