date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19890908,1800,,TD,11.2N,99.8W,25,1010
19890909,0000,,TD,11.2N,101.0W,25,1009
19890909,0600,,TD,11.5N,102.2W,25,1009
19890909,1200,,TD,12.0N,103.4W,30,1008
19890909,1800,,TD,12.8N,104.3W,30,1007
19890910,0000,,TD,13.7N,104.9W,30,1006
19890910,0600,,TS,14.4N,105.6W,35,1005
19890910,1200,,TS,15.0N,106.5W,35,1004
19890910,1800,,TS,15.5N,107.7W,40,1002
19890911,0000,,TS,16.0N,108.8W,45,1000
19890911,0600,,TS,16.4N,109.8W,50,996
19890911,1200,,TS,16.7N,110.6W,60,992
19890911,1800,,HU,17.0N,111.3W,70,985
19890912,0000,,HU,17.4N,111.9W,80,975
19890912,0600,,HU,18.0N,112.3W,90,965
19890912,1200,,HU,18.9N,112.8W,105,955
19890912,1800,,HU,19.9N,113.2W,110,950
19890913,0000,,HU,20.9N,113.8W,115,948
19890913,0600,,HU,21.8N,114.6W,110,950
19890913,1200,,HU,22.4N,115.4W,105,955
19890913,1800,,HU,23.0N,116.4W,90,968
19890914,0000,,HU,23.5N,117.1W,80,977
19890914,0600,,HU,24.1N,117.8W,70,985
19890914,1200,,TS,24.5N,118.3W,60,990
19890914,1800,,TS,25.0N,118.8W,55,995
19890915,0000,,TS,25.5N,119.2W,45,998
19890915,0600,,TS,26.1N,119.4W,40,1002
19890915,1200,,TS,26.8N,119.5W,35,1005
19890915,1800,,TD,27.2N,119.5W,30,1007
19890916,0000,,TD,27.8N,119.4W,30,1008
19890916,0600,,TD,28.1N,119.2W,25,1009
19890916,1200,,TD,28.3N,118.8W,25,1010
19890916,1800,,TD,28.4N,118.1W,20,1012
