date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19890921,0600,,TD,18.1N,104.5W,25,1004
19890921,1200,,TD,18.6N,105.3W,30,1004
19890921,1800,,TS,19.3N,106.3W,35,1003
19890922,0000,,TS,20.0N,107.3W,40,1002
19890922,0600,,TS,20.6N,108.4W,45,999
19890922,1200,,TS,20.7N,109.3W,50,997
19890922,1800,,TS,20.7N,110.0W,55,994
19890923,0000,,TS,20.7N,110.7W,55,993
19890923,0600,,TS,20.7N,111.6W,50,996
19890923,1200,,TS,20.6N,112.3W,45,1000
19890923,1800,,TS,20.5N,112.8W,40,1003
19890924,0000,,TS,20.6N,113.3W,35,1005
19890924,0600,,TD,20.7N,114.2W,30,1007
19890924,1200,,TD,20.8N,115.3W,30,1008
19890924,1800,,TD,20.8N,116.5W,30,1009
19890925,0000,,TD,20.7N,117.4W,25,1010
19890925,0600,,TD,20.6N,118.1W,25,1010
19890925,1200,,TD,20.5N,118.6W,25,1010
19890925,1800,,TD,20.4N,119.1W,25,1010
