date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19900602,1800,,TD,10.7N,100.3W,25,1010
19900603,0000,,TD,11.9N,101.4W,25,1010
19900603,0600,,TD,12.8N,102.8W,25,1009
19900603,1200,,TD,13.1N,104.7W,30,1008
19900603,1800,,TD,13.1N,106.8W,30,1007
19900604,0000,,TS,13.1N,108.8W,35,1005
19900604,0600,,TS,13.3N,110.1W,45,1000
19900604,1200,,TS,13.4N,111.0W,50,995
19900604,1800,,TS,13.8N,111.6W,60,992
19900605,0000,,HU,14.6N,112.1W,65,987
19900605,0600,,HU,15.6N,112.8W,75,981
19900605,1200,,HU,16.7N,113.4W,80,977
19900605,1800,,HU,17.7N,114.0W,80,978
19900606,0000,,HU,18.6N,114.4W,75,979
19900606,0600,,HU,19.5N,114.9W,70,980
19900606,1200,,TS,20.2N,115.2W,60,985
19900606,1800,,TS,20.8N,115.5W,55,995
19900607,0000,,TS,21.4N,115.8W,45,1000
19900607,0600,,TD,22.0N,115.8W,30,1006
19900607,1200,,TD,22.6N,115.8W,30,1007
19900607,1800,,TD,23.2N,115.7W,25,1008
19900608,0000,,TD,23.7N,115.9W,25,1009
19900608,0600,,TD,24.1N,116.2W,20,1010
19900608,1200,,TD,24.4N,116.7W,20,1010
