date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19900608,1200,,TD,11.6N,110.0W,25,1010
19900608,1800,,TD,11.7N,110.0W,25,1010
19900609,0000,,TD,11.7N,109.9W,30,1008
19900609,0600,,TD,11.8N,109.9W,30,1006
19900609,1200,,TS,12.3N,109.9W,35,1005
19900609,1800,,TS,12.9N,110.0W,35,1005
19900610,0000,,TS,13.3N,110.4W,35,1003
19900610,0600,,TS,13.5N,110.9W,40,1002
19900610,1200,,TS,13.6N,111.3W,40,1000
19900610,1800,,TS,13.6N,111.4W,45,999
19900611,0000,,TS,13.6N,111.5W,45,998
19900611,0600,,TS,13.8N,111.6W,45,997
19900611,1200,,TS,14.0N,111.7W,50,996
19900611,1800,,TS,14.2N,112.5W,50,996
19900612,0000,,TS,14.6N,113.3W,50,995
19900612,0600,,TS,15.0N,113.9W,55,995
19900612,1200,,TS,15.3N,114.6W,55,994
19900612,1800,,TS,15.6N,115.4W,55,995
19900613,0000,,TS,15.7N,116.2W,50,996
19900613,0600,,TS,15.9N,117.1W,50,998
19900613,1200,,TS,16.2N,118.2W,45,1000
19900613,1800,,TS,16.5N,119.2W,35,1002
19900614,0000,,TD,17.0N,120.1W,30,1005
19900614,0600,,TD,17.3N,120.7W,30,1008
19900614,1200,,TD,17.5N,121.1W,25,1009
19900614,1800,,TD,17.7N,121.6W,25,1010
19900615,0000,,TD,17.8N,122.0W,25,1010
19900615,0600,,TD,18.0N,122.5W,25,1010
19900615,1200,,TD,18.0N,122.9W,25,1010
19900615,1800,,TD,17.8N,123.3W,20,1010
19900616,0000,,TD,17.7N,124.0W,20,1011
19900616,0600,,TD,17.6N,124.5W,20,1011
