date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19900719,1200,,TD,12.0N,106.5W,25,1012
19900719,1800,,TD,12.0N,107.4W,25,1012
19900720,0000,,TD,12.1N,108.3W,25,1011
19900720,0600,,TD,12.2N,109.3W,30,1011
19900720,1200,,TD,12.3N,109.9W,30,1010
19900720,1800,,TD,12.6N,110.6W,30,1008
19900721,0000,,TS,12.9N,111.3W,35,1004
19900721,0600,,TS,13.3N,112.0W,45,1000
19900721,1200,,TS,13.8N,112.7W,55,996
19900721,1800,,HU,14.3N,113.2W,65,989
19900722,0000,,HU,14.8N,113.7W,75,978
19900722,0600,,HU,15.3N,114.2W,90,965
19900722,1200,,HU,15.7N,114.8W,105,954
19900722,1800,,HU,16.2N,115.3W,115,945
19900723,0000,,HU,16.6N,115.9W,125,939
19900723,0600,,HU,17.0N,116.5W,130,933
19900723,1200,,HU,17.3N,117.2W,135,929
19900723,1800,,HU,17.5N,117.9W,135,928
19900724,0000,,HU,17.6N,118.5W,130,929
19900724,0600,,HU,17.8N,119.0W,125,933
19900724,1200,,HU,17.9N,119.6W,120,939
19900724,1800,,HU,18.0N,120.1W,115,945
19900725,0000,,HU,18.2N,120.7W,115,949
19900725,0600,,HU,18.3N,121.3W,110,951
19900725,1200,,HU,18.4N,121.9W,110,952
19900725,1800,,HU,18.5N,122.6W,110,954
19900726,0000,,HU,18.7N,123.3W,105,955
19900726,0600,,HU,19.0N,124.0W,105,956
19900726,1200,,HU,19.2N,124.8W,100,961
19900726,1800,,HU,19.4N,125.7W,90,967
19900727,0000,,HU,19.6N,126.5W,80,972
19900727,0600,,HU,19.8N,127.3W,75,977
19900727,1200,,HU,19.9N,128.2W,70,982
19900727,1800,,HU,20.0N,129.0W,65,986
19900728,0000,,TS,20.0N,129.9W,60,990
19900728,0600,,TS,20.1N,130.9W,55,993
19900728,1200,,TS,20.2N,131.8W,50,996
19900728,1800,,TS,20.4N,132.7W,45,998
19900729,0000,,TS,20.7N,133.6W,45,1000
19900729,0600,,TS,21.0N,134.5W,40,1002
19900729,1200,,TS,21.5N,135.3W,35,1004
19900729,1800,,TS,22.0N,136.0W,35,1006
19900730,0000,,TD,22.8N,136.7W,30,1008
19900730,0600,,TD,23.6N,137.3W,30,1009
19900730,1200,,TD,24.5N,137.8W,30,1010
19900730,1800,,TD,25.3N,138.2W,25,1010
19900731,0000,,TD,26.2N,138.5W,25,1011
